BLACKFORD-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST410475,Long,-2.84617,Lat,51.22398,Elevation,50,ft,,,,,,,,,,,,,
Station no,2019,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,2.05,2.76,5.26,1.55,4.64,2.33,2.49,2.72,,,,,,,
February,,,,,,,2.02,2.48,2.5,1.33,0.54,2.24,0.07,3.56,,,,,,,
March,,,,,,,0.72,2.59,2.11,0.1,2.28,0.93,1.42,2.7,,,,,,,
April,,,,,,,2.09,1.53,1.3,0.54,2.99,2.42,2.91,1.28,,,,,,,
May,,,,,,,1.77,1.46,0.99,2.43,2.08,3.33,3.88,2.07,,,,,,,
June,,,,,,,2.43,3.09,2.06,2.28,0.45,3.88,1.17,1.79,,,,,,,
July,,,,,,,1.83,3.24,2.56,1.43,2.27,4.9,5.19,1.51,,,,,,,
August,,,,,,,1.94,5.31,3.01,4.01,3.08,3.05,0.89,0.89,,,,,,,
September,,,,,,,1.69,6.79,1.14,0.42,3.53,2.08,5.34,1.46,,,,,,,
October,,,,,,,4.53,2.44,6.23,5.62,3.04,0.98,6.61,,,,,,,,
November,,,,,,,4.94,3.48,2.87,8.17,3.22,4.97,2.62,0.58,,,,,,,
December,,,,,,,0.88,2.19,3.09,5.79,2.62,1.25,2,0.3,,,,,,,
Total,,,,,,,26.89,37.36,33.12,33.67,30.74,32.36,34.59,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1926 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1928 May 5 Gauge moved 80yds SE,,,,,,,,,,,,,,,,,,,,,
1933 Oct Part estimated,,,,,,,,,,,,,,,,,,,,,
1933 Change of observer,,,,,,,,,,,,,,,,,,,,,
1934 Unable to read during holidays and weekends Record regarded as terminated,,,,,,,,,,,,,,,,,,,,,
