"TAFF FECHAN NEUADD RESERVOIR NO. 9",,,,,,,,,,,,
Grid ref,SO011209,Long,-3.438122,Lat,51.877866,,,,,,,
Station no,4159,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.05,4.03,3.51,7.80,8.20,2.15,8.50,2.50,3.30,3.55,,
February,7.33,1.27,3.28,4.03,5.24,1.20,4.70,1.80,3.95,1.45,,
March,1.55,5.39,2.69,9.71,3.20,7.25,3.80,2.36,5.35,5.90,,
April,2.40,4.51,2.61,2.71,3.00,6.40,1.52,5.90,3.90,4.46,,
May,4.25,1.42,3.94,5.56,3.40,0.55,4.08,4.05,5.40,2.18,,
June,4.62,3.23,4.02,2.90,2.10,6.40,3.76,6.56,2.18,4.36,,
July,2.43,2.91,1.86,3.18,4.00,2.00,1.30,4.60,6.28,5.22,,
August,7.10,4.64,3.10,8.92,3.95,6.50,5.30,5.54,7.20,2.65,,
September,5.38,3.74,3.00,7.18,3.20,3.30,1.66,1.46,4.24,5.13,,
October,10.75,3.92,5.50,18.50,2.40,4.21,8.27,10.25,4.42,12.30,,
November,6.48,2.21,5.78,4.85,3.30,6.10,6.80,3.68,4.65,3.80,,
December,10.82,7.59,4.70,5.60,5.30,2.15,3.35,8.93,6.15,10.65,,
Total,69.16,44.86,43.99,80.94,47.29,48.21,53.04,57.63,57.02,61.65,,
Calc annual,69.16,44.86,43.99,80.94,47.29,48.21,53.04,57.63,57.02,61.65,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
