TAFF FECHAN NEUADD RESERVOIR No. 1 (monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO028181,Long,-3.412646,Lat,51.852999,Elevation,1462,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,11.32,6.6,3.5,3.91,7.43,5.28,3.42,2.58,5.18,12.27,8.32,5.48,4.32,10.5,9.92,2.69,10.73,3.95,5.99,4.06,8.6,3.31,7.62,8.15,6.06,8.3,9.9,2.9,6.93,8.3,10.7,11.1,7.1,5.57,6.73,9.05,10.85,9.14,15.18,3.35,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.77,0.86,2.93,9.87,8.68,0.39,1.9,7.7,5.24,6.3,6.57,2.12,3,5.55,7.73,2.68,5.7,2.9,4.4,1.2,8.9,8.3,6.25,4,9.8,11.44,9.65,1.56,7.2,4.78,4.65,0.26,9.96,11.65,1.06,9.6,6.9,5.95,9.65,1.75,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,4.54,2.94,1.71,1.17,6.01,6.45,6.94,8.92,2.28,2.91,1.45,5.67,3.54,11.06,3.38,10.13,5.2,4.33,5.55,5.82,2.05,3.55,12.8,11.85,11.15,2.34,4.6,4.6,3.6,8.4,7.65,8.4,6.6,2.4,2.6,2.15,2.7,7.45,6.28,1.85,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.22,4.9,2.11,0.32,3.4,4.43,1.8,5.81,4.69,8.61,3.48,6.77,3.35,3.24,4.94,7.54,1.76,6.81,3.93,5.33,5.75,4.15,0.8,11,2.6,3.62,4.86,2.9,3.9,3.95,11.1,1.5,5,5.07,6.2,5.1,4.98,3.05,2.75,1.25,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.31,6.08,2.87,5.77,4.28,0.66,0.15,2.9,6.93,4.02,4.54,1.6,4.01,5.54,4.42,0.63,4.44,4.19,5.31,2.6,4.15,2.25,2.6,4.3,5.04,4.4,4.46,5.5,3.04,1.38,5.38,2.85,1.9,4.45,5.28,8.05,5.15,3.32,1.15,6.12,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,4.18,4.67,3.12,3.12,4.09,1.51,3.08,3.55,4.24,1.89,5.01,3.41,4.85,3.37,2.5,5.49,3.47,7.79,2.38,5.05,5.16,6.22,7.3,3.45,3.4,1.8,4.12,4.4,1.87,3.35,6.42,0.53,2.15,1.45,3.9,0.02,4,6.5,7.42,5.3,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4.27,4.68,3.18,5.47,5.88,8.47,2.65,3.98,1.47,2.73,3.74,2.26,2.41,4.35,4.25,2.68,2.15,4.7,7.16,5.46,6.84,0.55,6.7,1.75,8.08,7.79,2.76,4.45,8.56,2.12,9.5,4.9,9.4,4.32,7.75,3.15,5.28,6.5,5.45,5.05,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,6.14,11.09,5.34,4.45,5.99,8.26,4.61,8.27,8.99,2.14,7.1,4.42,4.37,9.72,6.5,7.98,5.45,7.56,8.93,2.8,9.6,4.5,14.13,3.75,6.3,3.82,5.94,16.6,3.3,5.04,3.65,8.54,5.35,5.26,7.65,5.15,7.75,12.05,6.6,5.84,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2.51,5.79,5.21,4.16,3.17,2.54,9.92,6.98,2.06,5.68,3.65,3.69,3.49,7.02,3.74,3.39,2.1,1.5,4.46,5.9,0.83,4.28,1.58,3.7,3.12,1.66,3.6,3.95,13.4,4.8,6.7,3.8,3.85,5.63,10.7,5.05,4.2,11.95,3.1,2.78,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.28,12.58,6.62,6.56,8.31,5.02,7.94,3.83,10.03,7.06,9.83,4.41,6.69,16.66,4.07,4.64,9.06,10.57,4.91,15.46,7.4,5.94,8.3,7.3,4.75,6.59,16.1,10.86,5.95,3.8,5.2,2.9,2.92,10.75,9.73,9.6,7.35,8.65,13.75,10.6,11.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,8.43,6.09,5.04,4.39,10.19,10.34,2.64,7.16,6.62,5.69,7.5,3.02,5.87,6.02,4.3,6.74,7.84,5.08,4.52,3.6,8.15,10.62,6.1,11.3,9.36,5.8,7.2,5.46,5.46,5.12,3.99,5.1,2.5,5.12,5.25,3.5,15.45,7.7,13.85,23.04,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,1.22,11.48,3.78,8.06,6.7,6.79,11.86,12.06,10.92,4.9,14.03,10.56,6.41,6.58,6.48,2.58,4.98,10.67,6.01,15.8,14.13,14.62,13.2,4.65,13,15.18,5.7,2.05,12.68,12.8,10.6,9.25,8.63,5.83,9.2,7.25,1.15,5.1,7.5,17.82,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,55.19,77.76,45.41,57.25,74.13,60.14,56.91,73.74,68.65,64.2,75.22,53.41,52.31,89.61,62.23,57.17,62.88,70.05,63.55,73.08,81.56,68.29,87.38,75.2,82.66,72.74,78.89,65.23,75.89,63.84,85.54,59.13,65.36,67.5,76.05,67.67,75.76,87.36,92.68,84.75,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
