"NEWADD RESERVOIR NO 1",,,,,,,,,,,,
Grid ref,SO028181,Long,-3.412646,Lat,51.852999,,,,,,,
Station no,4159,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.41,5.50,4.44,10.84,9.99,2.73,10.69,3.99,6.19,4.47,,
February,6.83,2.17,3.02,6.24,7.71,2.67,5.70,3.07,4.64,1.70,,
March,1.31,5.61,3.54,11.46,3.36,10.11,5.14,3.33,5.97,6.50,,
April,3.51,6.80,3.43,3.24,4.94,7.52,1.70,6.70,4.22,5.53,,
May,4.59,1.63,4.04,6.07,4.44,0.67,5.27,4.37,5.12,2.77,,
June,5.11,3.37,4.85,3.18,2.52,5.41,3.52,7.96,2.54,5.18,,
July,3.80,2.20,2.45,4.62,4.29,2.71,2.10,4.88,7.65,5.98,,
August,7.14,4.41,4.41,10.57,6.48,7.99,5.40,7.86,9.84,3.07,,
September,3.61,3.72,3.59,7.54,3.82,3.38,2.18,1.58,4.57,5.98,,
October,9.90,4.53,6.80,16.63,4.12,4.66,9.16,10.74,4.99,15.86,,
November,7.44,2.94,6.10,6.06,4.32,6.79,8.15,5.17,4.84,3.79,,
December,14.08,10.60,6.52,6.57,6.50,2.63,4.89,10.25,6.81,16.02,,
Total,75.73,53.48,53.19,93.02,62.49,57.27,63.90,69.90,67.38,76.85,,
Calc annual,75.73,53.48,53.19,93.02,62.49,57.27,63.90,69.90,67.38,76.85,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
