TAFF FECHAN NEUADD RESERVOIR No. 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO015200,Long,-3.432056,Lat,51.869848,Elevation,2017,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,5.28,4.34,3.1,5.71,15.89,7.43,6.61,5.53,12.65,12.2,3.4,11.1,4.08,7.25,4.6,11.95,3.1,8.1,10.8,7.85,8.3,9.85,2.9,9.9,9.9,13.2,13.85,4.95,7.03,7.5,14.05,14.1,12.28,20.55,4.15,16.91,9.58,20.5,11.8,14.5,3.6,10.5,17.1,16.35,14.5,4.15,4.2,8.55,16.3,11.9,7.6,15.7,6.9,17.9,4.7,3.9,11,8.9,2.7,5,8.2,10,16.9,6.9,11.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.62,2.84,8.06,5.5,8.1,10.8,2.03,2.45,8.46,6.8,3.1,6,6.98,4.7,1.2,12.08,8.9,9.04,5.7,14.72,15.4,7.35,1.8,6.18,4.85,5.25,0.48,9.4,12.65,1.03,13.4,7.9,7.5,11.23,2.05,1.13,8.23,0.21,6.9,0.8,11.6,4.2,14.7,4.9,10.25,8.2,9.05,1.55,6.2,2.65,13.3,8,2.26,4.9,4.6,14.2,9,2.2,4.8,8.3,3.6,1.3,9,13.8,1.1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,8.9,9.08,9.88,1.85,2.79,1.81,6.55,4.09,13.5,4.64,11,5.02,4.13,4.71,7.2,2.96,3.28,15.5,14.4,13.75,2.85,4.8,3.77,4.7,8.62,7.8,11.45,8.25,2.88,3.5,5.48,3,8.75,9.35,2.35,5.2,2.05,5.27,9.45,9.2,2.2,6.15,8.75,2.15,5.5,10.7,5.8,7.2,1.8,0.85,6.3,3.8,21.2,4.85,3.3,6.2,10,6,6.8,7.8,5.8,3.65,10.7,4,8.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,5.72,1.82,6.11,5.02,8.47,3.71,7.66,3.45,3.4,5.55,8.7,1.7,6.13,4.22,6.4,6.8,5.3,1.08,14.8,3,3.85,6.55,3.3,3,3.5,15.6,1.82,4.8,5.64,7.48,5.62,6.1,3.95,3.65,1.75,6.24,6.43,8.16,4.05,6.7,11.9,4.65,6.8,0.35,6.1,5.2,2.1,4.1,4.1,5.45,4.95,2.4,9,4.8,8.4,5.5,8.1,5.9,5.5,2,5.2,2.3,0.9,3.05,9.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.1,0.14,3.64,6.44,3.79,6.09,2.12,4.3,5.35,5.14,0.55,5.87,4.7,6.8,2.8,4.7,3.2,3.15,5.5,5.23,3.45,5.5,6.5,3.42,2.46,6.75,4.6,2.35,4.13,7.62,10.15,5.4,4.05,1.4,8.45,4.12,7.5,10.36,2.75,6.05,2.7,2.5,3.65,7.06,1.35,2.75,5.55,10.75,8.7,3.95,6.5,3.2,3.9,3.4,7.6,3.3,5,7.4,7.2,5.3,8.1,2.65,2.8,6.5,2.75,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.9,3.81,3.69,5.01,2.46,7.21,4.35,5.45,2.4,3.2,7.43,3.53,9.93,2.37,4.9,3.7,8.1,8.12,3.85,2.92,1.83,4.8,4.2,1.9,4.3,6.8,0.98,2.2,2.23,5.06,0.02,4.35,9.2,12,5.6,6.26,10.5,3.58,4.6,3.65,10,6.15,4.6,6.1,8.05,1.25,2.05,0.55,6.2,7,10.65,8.9,4.8,6.2,1.4,5.2,3.2,5.8,3.8,8.7,7.75,4.4,1.5,4.9,3.6,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,10.56,3.7,3.41,2.24,2.68,3.1,2.64,2.63,4.14,4.1,2.5,2.4,6.66,5.6,6.83,7.85,0.75,8,2.04,8.5,9.68,3.11,3.4,10.4,2.2,12.7,5.03,10.25,4.48,10.3,4.36,6,10.25,7.05,6.1,11,10.25,8.5,7.7,3.2,2.4,14.3,6.2,6.9,19.5,6.6,6.1,8.1,6.3,7.1,6,4.75,5.5,4.9,2.8,8.9,2.4,3.3,10,8,2,9,9.2,8.2,8.3,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,11.26,5,10.16,10.39,2.45,8.96,6.33,3.7,11.4,7.1,9.5,6.3,9.58,7.65,2.8,10.65,7.1,16.6,3.65,8.72,4.12,5.5,17.4,4.52,6.15,5.1,8.5,6.3,7.08,9.54,7.28,8.75,15.4,9.54,6.65,9.5,9.06,3.33,2.15,8.6,3.25,3.6,2.05,6.6,6.6,1.35,9.95,10.8,10.7,5.55,6.5,15,0.8,10.5,3.9,11.8,10.6,11.2,8,9.7,2.7,10.3,7.1,6.8,2.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.7,12.84,7.65,2.58,5,5.29,5.83,3.3,9,4.5,4.15,2.5,2.2,4.85,5.8,0.86,5.4,1.65,4,3.35,1.6,4.48,4.3,16.65,6.1,7.93,4.25,4.85,6.68,13.46,4.3,4.78,13.05,3.4,3.54,9.61,4.85,8.32,3,9.8,12.85,6.5,4.5,3.6,2.05,5.85,1.55,7.6,8.3,10.35,9.95,16,4.6,11.4,3.4,13.6,9.5,5.2,9.2,10.4,4.3,9.65,11.6,11.5,0.76,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.22,10.11,4.94,10.91,6.04,10.55,5.52,7.15,18.8,3.8,4.95,10.65,11.05,4.55,18.3,7.65,7,10.62,6.7,4.86,5.65,18.7,12.2,7.5,3.2,5.84,3.11,2.12,13.92,11.72,13.9,6.98,12.55,14.65,14.95,11.46,3.7,15.76,13.55,10.6,13.4,6.1,4.9,16.3,5.55,11.55,12,7.7,8.05,12.2,10.65,1.9,2.3,6.4,11.8,5.3,2.7,9.8,5.5,17.3,5.4,5,6,8.3,10,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
