TAFF FECHAN NEUADD RESERVOIR NO.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO026195,Long,-3.415944,Lat,51.865547,Elevation,1515,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,6.2,4.2,3.44,6.87,15.68,9.49,6.64,5.75,16.05,13.3,3.3,13,5.4,7.4,3.92,8.45,2.15,6.35,10.3,7.9,10.1,12.3,3.8,8.4,10.42,14,12.75,9.1,7.57,8.85,13.3,13.4,11.55,20.75,5.24,12.1,8.35,15.87,8.65,10.6,3.15,7.1,14.1,14.45,13.5,4.95,4.4,7.35,13.95,11.2,6.6,13.4,6.4,20,5.6,5.2,11.4,9,2.9,5.2,5.25,12.25,15.8,11,11.7,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.36,2.59,9.08,6.21,6.54,9.8,3.13,3.3,9.54,10.4,3.34,7.62,4.98,5.44,1.45,6.12,7.05,7.1,4.15,12,13.94,11.7,2,8.41,6.33,6.9,0.5,11.15,13.88,1.09,15.02,8.5,8.2,12.3,1.85,0.91,6.91,0.22,8.25,0.8,8.8,3.35,13.3,4.1,9.25,6.7,10.1,1.1,6.5,3,12.9,9.4,1.99,6.8,4.9,16.6,9.8,1.8,5.1,8.2,3.1,0.75,8.65,11.2,1.2,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,8.85,9,12.36,2.53,3.51,2.03,7.7,5,16.05,4.6,12.86,6.52,5,7.36,4.58,2.4,2.4,15.8,14.7,12.55,2.25,4.4,4.77,4.9,9.65,11,10.15,9.3,5.1,3.87,2.3,3.2,9.85,8.35,1.95,5.05,1.88,5.05,7.6,5.7,1.5,3.75,5.6,1.4,4.25,9,5.8,6.35,1.8,0.8,5.6,3.6,16.2,6.1,3.4,5.7,7.5,7.7,7.2,6.7,2.6,3.1,10.5,1.6,8.65,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,5.82,2.02,7.63,5.74,9.74,1.42,9.06,3.6,3.73,6.5,9.9,2.15,7.86,4.4,4.87,3.8,2.3,0.3,12.6,3.2,4.32,6.06,3.95,4.25,4.3,12.92,2.11,6.9,6.84,9.1,6.1,6,3.95,3.35,1.75,6.35,6.04,9.07,2.9,5.6,5.3,2.55,6.25,0.35,6,5.95,2.55,3.5,3.2,4.65,5.2,3.4,8.2,5.1,9,7.4,8,6.2,7.2,1.9,5.4,2.3,0.8,2,8.8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,5.43,0.88,0.15,3.76,7.35,6.01,6.47,1.9,4.19,6,4.9,0.88,6.75,5.2,6.72,2.3,2.98,1.15,2.15,5.5,5.58,4.4,5.61,6.15,3.66,2.54,7.1,3.66,3.4,5.07,7.6,9.5,6.22,4.25,1.37,7.75,3.86,6.15,10.26,2.45,4.8,1.8,2.25,3.25,6.9,1.25,2.55,4.6,9.25,7.6,4.15,7.45,4.95,3.6,5.4,8,3.85,5.2,7.7,5.4,5.3,7.4,1.8,3.7,4.6,2.95,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,5.35,2.05,3.8,3.63,5.21,2.18,7.12,4.17,5.45,2.82,3.7,7.9,4.26,10.2,2.92,3.82,5.05,3.85,6.2,4.26,2.25,1.76,4.5,4.3,2.25,4.6,7.5,1,2.55,2.27,4.39,0.02,4.75,8.99,10.4,4.5,4.91,9.6,2.9,3.9,2.8,4.8,4.3,4.1,5.8,7.95,1.15,2.35,0.55,7.45,6.2,8.3,10.6,4.6,9,1.5,5.2,3.4,6.4,3.5,7.4,10.95,5.3,1.5,4.2,3.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,6.4,10.15,3.3,4.31,1.97,2.41,3.41,2.78,2.47,5.4,4.75,2.53,2.28,6.15,8.15,4.8,3.75,0.58,4.63,2,8.7,9.3,2.92,5.2,9.3,1.9,10.5,4.75,8.7,6.05,10.2,4.1,6.15,8.1,6.82,6.33,8.73,7.45,8.5,6.9,2.8,0.85,5.15,5.25,7.2,15.9,5.9,5.45,7.3,5.7,6.8,5.75,5.35,4.6,4.35,2.8,9.2,2.5,3.7,11.65,6.9,1.3,8,8.4,6.9,8.3,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,6.95,10.06,4.8,8.7,11.18,2.29,8.37,6.06,4.8,12.5,7.08,9.1,7.6,9.2,10.25,2.5,8.6,5.05,15.9,4.8,7.6,3.8,6.1,17.75,4.5,4.94,4.85,8.45,7,7.35,9.88,7.2,8.9,15.95,8.12,5.83,7.22,8.54,2.22,1.8,6.9,3,1.7,1.85,6.05,5.4,1.15,9,11,8.35,5.3,6.4,12,0.9,10.2,4.5,12.2,12.2,12,6.3,9.4,2.5,9.05,6,7.7,2,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.17,2.58,12.97,8.49,2.61,5.73,4.52,4.18,3.4,9.2,4.08,4.2,2.66,2,4.25,4.8,0.86,3.43,1,4.18,3.6,1.7,4.3,4.3,12.2,5.8,6.58,4.9,6.05,7.2,14.68,5.75,4.74,12.8,3.48,2.87,8.14,4.78,8.76,2.65,7.3,8.55,5.7,3.8,3.05,1.7,5.95,1.4,6.5,8.1,7.6,8.6,14.7,5.6,11.4,3.5,11.1,9.2,5.9,7.6,10.3,4.2,7.3,12.8,13.5,0.7,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,10.34,5.41,9.58,4.23,11.44,7.41,11.47,4.96,8.02,20.4,4.55,5.45,11,11.3,4.46,12.53,4.4,5.32,7.65,8.25,4.95,6.27,18.9,8.8,7.7,4.1,6.5,3.49,3.06,15,11.4,13.15,8.52,12.06,10.5,11.18,11.52,2.93,15.97,10,9.15,7,6.25,5.15,14.85,5.75,10.55,12.05,8.45,7.7,12.3,8.8,1.8,2,7.1,13.5,5.3,2.5,8.2,5,18.5,4.95,4,10.25,8.6,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
