TAFF FECHAN NEUADD RESERVOIR No. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO019202,Long,-3.426306,Lat,51.871716,Elevation,1723,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,5.93,4.43,3.35,7.22,16.94,8.91,6.14,5.83,14.23,13.54,3.6,14.15,4.86,8.22,5.08,11.7,3.5,8.9,11.5,9.1,9.55,12.45,3.2,9.35,10.15,14.05,14.55,9.1,7.13,7.88,13.72,13.8,11.7,19.58,3.4,14.83,7.95,17.28,10.4,14.1,3.4,9.95,14.8,16.2,14.2,5,4.2,8.3,14.7,12.1,7.4,15.7,6.8,20,6,4.9,11.4,9.2,3,5.65,8.1,11,16.7,8.95,11.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.45,2.88,9.57,5.49,8.03,10.5,2.48,3.54,10.03,9.2,3.2,7.22,4.14,5.11,1.51,10.85,10.23,10,5.6,15.65,14.3,10,1.67,9.1,5.35,6.2,0.48,9.3,13.98,1.03,13.37,7.7,7.98,12.28,1.95,0.96,7.27,0.27,7.8,0.85,10.8,4.15,13.25,4.85,9.15,7.25,9.75,1.5,6.7,3,13.6,9.1,2.12,6.5,5,15.1,9.1,2.5,4.8,8.3,4,1.2,9.7,11.4,1.2,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,9.94,9.58,11.71,2.2,3.77,1.6,8.03,5.3,15.13,3.88,12.35,6.03,4.5,7.02,7.18,3.02,4.05,16.9,16.2,13.1,2.15,4.15,3.8,4.7,9.7,10.2,11.3,8.9,2.66,3.58,2.22,2.7,9.65,8.75,1.9,5.1,2.06,5.15,8.45,6.25,2.4,6.1,5.8,1.75,4.7,9.4,5.95,6.75,1.95,0.9,6.3,3.7,18,5.85,3.6,6.6,8.6,6,7,8,5.5,3.9,10.4,3.4,9.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,6.2,2.03,7.49,5.67,9.39,4.22,8.92,3.79,3.65,6.15,9,1.85,7.1,4.4,6.75,7.2,5.52,1.04,13.75,3.2,3.9,6,3.2,3.7,3.74,15,1.72,4.8,6.31,7.95,5.92,5.8,3.85,3.45,1.55,6.36,6.2,9.05,3.3,6.35,11.3,4.75,6.7,0.5,6.3,5.5,2.55,3.85,3.6,4.9,4.9,3.2,9,5.3,8.8,7.1,8.2,6.1,6.8,2.2,5,2.7,0.9,3,9.1,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1,0.08,3.83,7.02,4.08,6.13,2,3.6,5.73,5.6,0.7,5.52,5.18,7.5,2.96,5.1,2.9,3.1,5.26,5.23,4.2,5.85,6.25,3.4,2.4,6.2,4,2.3,4.62,7.71,10.2,5.95,4.2,1.28,8.75,3.76,7,9.84,2.75,5.3,2.8,2.6,3.8,7,1.25,2.6,5.6,10.05,8.7,4,6.7,5.1,3.85,5.3,5.9,3.5,4.4,7.5,7,5.9,9,2.8,5.2,9.3,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.55,4.15,4.04,5.62,2.18,7.41,4.31,5.63,2.72,2.8,8.12,4.05,10.6,3.2,5.08,5.85,6.2,8.65,4.1,3.3,1.8,4.45,4.55,2.3,4.75,7.1,1.05,2.3,1.8,4.8,0.02,4.6,7,10.65,5.4,5.38,9,3.15,3,3.2,9.8,5.85,4,6.55,7.95,1.3,2.2,0.65,7.8,7.05,9.4,10.9,4.6,9.1,1.5,5.2,4,6.4,3.8,9.1,10,5.75,1.8,5.1,3.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,11.07,3.5,3.99,2.21,2.3,3.09,2.83,2.45,5.03,4.9,2.46,2.4,7,9.7,6.88,8.66,0.72,8.3,2.1,7,10.6,3.16,5.15,9.45,1.7,11.25,5.53,10.65,5.35,9.8,4.28,6.15,9.35,7.35,6.7,7.6,9.35,8.52,6,3.25,2.15,14.15,6,7.1,17.95,6.2,6.05,7.8,6.3,7.15,5.7,5.1,5.1,4.4,3,9,3,3.9,10.7,7.8,2.4,9.15,10,7.4,8.7,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,12.16,5.27,10.33,12.31,2.5,9.17,5.35,5,12.4,7.2,9.4,7.11,9.83,10.2,3.18,11.4,7.55,16.95,5.05,8.85,4.35,5.75,18.84,4.3,6.73,4.85,11.56,6.45,7.08,9.22,6.55,9.15,15.95,8.32,7.1,8.51,9.2,3.21,2,8.25,3.3,3.25,1.95,6.4,6.15,1.3,10.1,10.4,9.9,5.6,6.2,13.9,0.9,10.6,4.4,13,11.8,11.7,7.7,10.7,2.7,10.2,8.7,7.6,2.2,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,2.9,13.19,8.96,2.91,5.38,5.91,5.58,3,9.7,4.4,4.7,2.35,2.25,5.24,5.9,1,5.92,1.8,4.45,3.62,1.63,4.7,4.4,16.6,5.55,7.88,4.55,5.35,6.7,13.25,4.8,4.98,12.85,3.62,3.2,9.2,4.5,8.97,2.8,8.55,12.7,6.35,4.2,3.75,1.9,6.15,1.5,7.45,8.2,9.85,9.5,14.2,5,11.7,3.3,14.2,9.8,6.4,8.6,10.6,4.6,10.05,13.5,13,1.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.53,9.93,4.73,12.06,7.39,5.91,5.25,8.35,18.6,4.4,5.45,10.85,11.97,4.51,19.6,7.95,7.2,10.2,8.9,5.2,6.2,19.65,13.1,7.85,3.9,6.75,3.39,2.1,14.42,11.64,12.68,7.4,12.55,15.75,10.74,11.52,3.48,16.07,9.6,9.9,12.7,5.85,5.4,16.65,5.65,11.35,12.15,8.95,8.05,11.4,10.7,1.9,2.3,6.4,12.6,5.5,3,9.2,5.3,17.4,5.3,5.1,9.4,7,10.1,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,12.74,14.3,2.5,9.67,8.99,7.49,8.21,4.18,7.2,6.9,5.2,8.4,9.03,6.65,5.7,4.8,8.8,12.7,7.25,14.6,10.6,6.5,9,6.3,6.93,5.1,6.2,5.15,4.92,7.14,6.03,4.5,18.9,8.19,19.25,24.27,10.47,17.96,8.17,2.4,4.2,12,8.35,5,15.3,17.35,18.25,7.2,2.2,7.15,15.45,1.1,18.95,12.2,5.3,10,10.6,15.7,8.25,9,17.1,7,3.7,4.4,4.7,13.5,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,9.8,7.6,15.8,19.48,15.66,5,17.12,11.38,8,7.1,9.1,3.23,5.63,13.5,8.63,16.5,15.76,17.9,15.7,6.15,18.2,19.75,6.3,2.15,17.3,15.05,13.75,10.6,12.12,7.66,13.23,8.4,1.32,5.2,9.6,24.87,9.16,5.71,6.65,2.7,21.8,6.75,16.2,6.6,8.3,6,6.75,9.2,14.1,3.95,8.1,12.4,9,7.2,15.7,11.8,5.4,12.1,9.07,4.5,12.2,13.2,11.1,9.4,8.5,20.2,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,79.63,73.34,97.15,87.36,74.45,88.18,66.45,61.69,111.22,76.37,70.61,76.19,87.58,79.43,85.42,97.29,84.39,108.79,97.66,103.05,84.93,91.46,72.61,94.98,74.12,109.43,73.88,78.29,84.85,96.12,86.66,88.45,108.47,119.88,99.83,92.85,89.68,96.33,61.2,92,90.1,87.55,77.5,94.35,98.55,81.05,76.45,82,87,89.5,93.9,110.75,77.07,106.15,75.9,100.1,101.1,86.22,78.2,114.95,76.8,76.65,100.1,89.35,93.5,117.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Sep 1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
