TAFF FECHAN NEUADD RESERVOIR No. 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO024204,Long,-3.4182,Lat,51.874,Elevation,1997,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,7.3,2.65,3.8,2.87,8.33,6.05,4.03,3.51,,8.2,2.15,,2.5,3.3,3.55,6.95,1.62,6.8,,4.17,6.2,6.6,2.15,6,5.85,7.7,6.05,7.65,3.96,5.05,4.48,6.1,6.3,9.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.4,1.69,5.13,3.84,5.7,7.33,1.27,3.28,,5.24,1.2,,1.8,3.95,1.45,6.93,5.2,5.7,2.88,5.92,8.84,8.4,1.33,5.25,5.22,3.6,0.43,5.1,8.32,1.18,5.14,4.8,5.2,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,4.7,5.6,6.59,2.2,1.9,1.55,5.39,2.69,,3.2,7.25,3.8,2.36,5.35,5.9,1.82,2.85,7.85,8.5,7.51,1.28,4.7,2.75,3,6.9,5.9,5.5,4.4,2.03,2.65,1.94,1.28,6,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,3.95,1.3,5.32,3.65,6.8,2.4,4.51,2.61,,3,6.4,1.52,5.9,3.9,4.46,5.3,2.65,0.7,6.56,2.05,2.4,3.3,1.8,3.43,3.05,10.3,1.4,3,5.94,5,4.4,4.6,2.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.82,0.13,3.02,6.53,5.27,4.25,1.42,3.94,,3.4,0.55,4.08,4.05,5.4,2.18,4.3,1.3,2.6,3.85,3.7,3.75,4.65,5.65,2.85,1.5,4,1.92,1.13,3.54,5.62,6.73,4,3.3,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.9,3.39,3.17,3.71,1.94,4.62,3.23,4.02,,2.1,6.4,3.76,6.56,2.18,4.36,5.2,5.6,7.5,2.15,3.3,1.65,3.98,3.7,1.5,2.9,5.7,0.5,1.65,0.93,3,0.01,3.5,7.65,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,6.78,2.46,3.23,1.67,2.25,2.43,2.91,1.86,,4,2,1.3,4.6,6.28,5.22,5.52,0.45,7.5,1.8,7.6,7.55,1.82,3.5,6.75,2,7.75,4.55,7.65,3.32,6.73,3.7,4.8,6.65,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,7.4,4.35,7.32,7.17,1.81,7.1,4.64,3.1,,3.95,6.5,5.3,5.54,7.2,2.65,7.8,3.65,14.8,3.05,4.5,3.66,5.1,13.6,3.15,4.8,3.26,7.05,3.85,4.45,6.73,6.65,8.9,11.2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.7,8.87,5.81,1.53,4.18,5.38,3.74,3,,3.2,3.3,1.66,1.46,4.24,5.13,0.9,,1.5,3.8,2.58,1.3,3.65,3,11.2,3.2,6.55,3.1,3.15,4.28,8.33,4.5,3.15,8.9,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.7,6.49,3.35,9.24,5.91,10.75,3.92,5.5,,2.4,4.21,8.27,10.25,4.42,12.3,7.36,4.52,,7.06,4.55,5.35,12.6,10.9,4.1,3.1,4.75,2.79,1.68,7.48,8.1,8.2,5.95,5.34,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,8.16,9.26,2,5.37,5.65,4.15,6.48,2.21,5.78,,3.3,6.1,6.8,3.68,4.65,3.8,6.65,6.68,,7.57,7.3,4.45,5.5,3.95,3.96,3.3,3.8,4.35,2.75,2.62,4.77,2.4,9.4,6,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,5.14,5.31,10.36,8.93,7.25,4.89,10.82,7.59,4.7,,5.3,2.15,3.35,8.93,6.15,10.65,10.78,10.9,,3,10,11.5,4.4,1.7,11.14,9.4,7.5,6.4,5.76,4.6,8.38,4.63,1.2,4.87,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,54.22,49.29,61.04,55.31,53.13,69.16,44.86,43.99,,47.29,48.21,,57.63,57.02,61.65,69.51,,,,63.18,57.93,64.7,54.03,62.33,51.22,70.81,44.04,47.77,51.47,65.54,52.78,57.68,73.91,71.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is based on the long/lat on the 1920s and 1890s record. Stated altitude is 100 ft. to low or gauge is 100m W or SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
