TAFF FECHAN NEAUADD RESRVOIR NO.1 (daily),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO028181,Long,-3.412646,Lat,51.852999,Elevation,1462,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,3.53,2.78,12.01,6.35,3.57,3.86,7.33,5.14,3.48,2.52,5.16,12.34,8.41,5.5,4.44,10.84,9.99,2.73,10.69,3.99,6.19,4.47,8.86,3.2,7.83,9.38,6.94,8.72,10.09,2.95,7.59,8.92,11.5,11.94,7.47,5.87,7.79,9.44,11.01,8.77,14.05,2.78,12.97,7.07,13.45,6.83,11.59,2.57,8.8,12.66,15.2,14.16,4.66,6.96,7.13,12.22,9.91,6.48,10.55,6.57,16.95,3.81,3.55,9.38,8.1,2.56,4.46,7.36,9.52,11.5,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.93,3.98,1.9,0.88,3.06,9.92,8.57,0.29,1.82,7.73,5.25,6.27,6.83,2.17,3.02,6.24,7.71,2.67,5.7,3.07,4.64,1.7,9.16,8.57,6.83,4.32,10.16,11.62,9.81,1.76,7.73,4.93,4.8,0.3,10.46,14.34,0.98,11.86,6.73,6.06,9.31,2.15,0.87,6.88,0.39,9.27,0.88,8.92,4.12,11.27,4.01,8.43,6.06,8.57,1.26,6.16,2.77,11.14,8.37,1.95,5.12,3.54,12.14,8.15,1.57,3.89,7.62,3.03,0.76,6.84,10.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,6.58,3.55,4.67,2.95,1.69,1.14,6.08,7.2,7.14,8.99,2.3,2.94,1.31,5.61,3.54,11.46,3.36,10.11,5.14,3.33,5.97,6.5,2.15,3.73,13.39,12.33,11.33,2.41,4.37,5.1,3.93,8.78,7.84,9.33,7.13,2.53,3.17,1.99,2.5,7.53,6.26,1.87,4.71,1.45,4.49,7.05,5.31,3.36,5.47,6.06,1.59,3.91,6.8,6.04,5.69,2.02,0.8,4.19,2.99,16.5,5.01,3.21,4.33,7.78,5.78,6.36,5.99,3.43,2.47,7.41,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,4.44,6.17,2.28,5,2.16,0.31,3.31,4.56,1.64,5.86,4.68,8.67,3.51,6.8,3.43,3.24,4.94,7.52,1.7,6.7,4.22,5.53,5.87,4.2,0.87,11.42,2.87,3.77,5.17,2.91,4.22,3.95,11.54,1.68,5.37,5.8,6.53,5.55,5.03,2.96,2.66,1.57,6.34,5.95,8.49,2.48,5.27,10.24,4.97,6.45,0.42,5.87,6.49,2.53,3.13,3.01,4.2,4.34,3.26,5.79,4.24,6.57,6.09,6.71,5.31,5.47,1.84,3.55,2.04,0.47,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.94,4.44,3.19,6.04,2.95,5.95,4.21,0.71,0.13,2.78,6.9,4.03,4.59,1.63,4.04,6.07,4.44,0.67,5.27,4.37,5.12,2.77,4.26,2.45,2.74,4.72,5.17,4.55,4.58,5.59,3.25,1.55,5.64,3.11,2,4.85,5.3,8.89,5.37,3.22,1.13,6.12,3.85,5.65,9.47,2.33,4.36,2.53,2.17,2.97,6.6,1.36,2.36,4.66,7.44,7.09,3.95,6.5,4.6,3.28,5.18,5.77,3.28,4.27,6.54,4.69,4.72,7.95,1.6,2.98,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,4.4,0.58,4.31,4.77,3.05,3.19,4.07,1.37,3.13,3.55,4.2,1.89,5.11,3.37,4.85,3.18,2.52,5.41,3.52,7.96,2.54,5.18,5.29,6.46,7.45,3.72,3.52,1.92,4.35,4.61,2.07,3.62,6.61,0.59,2.37,1.61,4.03,0.01,4.14,6.83,7.49,4.95,3.47,7.82,2.15,4.65,2.86,8.59,5.43,4.18,6.71,6.29,1.1,2.83,0.44,8.26,5.1,7.44,8.37,3.64,7.34,1.13,4.39,2.21,4.99,2.44,7.77,8.52,3.6,1.23,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,3.5,8.59,5.07,4.58,4.59,3.14,5.46,6.02,8.8,2.73,4.03,1.51,2.75,3.8,2.2,2.45,4.62,4.29,2.71,2.1,4.88,7.65,5.98,7.05,0.56,6.86,1.81,8.18,7.87,2.93,4.66,9.06,2.23,10.15,5.19,9.7,4.79,7.96,3.36,5.38,6.42,6.05,5.38,8.18,7.39,8.23,6.72,2.36,1.52,11.1,5.5,7.06,16.7,4.82,4.77,5.91,5.32,5.51,4.92,4.51,4.51,2.87,2.23,7.64,1.97,3.11,7.73,6.22,0.89,6.32,6.85,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,3.06,5.26,6.64,5.86,10.99,5.25,4.43,5.92,8.24,4.59,8.29,9,2.1,7.14,4.41,4.41,10.57,6.48,7.99,5.4,7.86,9.84,3.07,9.71,4.63,14.43,3.92,6.59,3.97,6.06,17.08,3.51,5.3,3.78,8.98,5.71,6.1,8.9,6.14,8,12.04,6.84,5.49,7.55,7.4,2.22,1.92,6.38,2.92,2.49,1.77,5.45,4.07,1.05,8.75,8.88,7.67,5.37,5.58,11.08,0.78,7.76,3.81,10.1,10.25,10.7,5.19,8.12,1.91,6.86,5.71,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,6.96,2.15,3.02,2.41,5.62,5.02,4.13,3.25,2.32,9.95,7.02,2.11,5.64,3.61,3.72,3.59,7.54,3.82,3.38,2.18,1.58,4.57,5.98,0.93,4.54,1.69,3.98,3.73,1.87,3.76,4.16,13.76,5.29,7.04,4.17,4.79,6.82,11.11,5.35,4.25,11.33,3.1,2.96,7.76,4.52,8.33,2.73,6.36,9.83,5.76,3.59,3.13,1.41,5.03,1.35,6.19,6.75,8.43,6.81,11.91,4.24,7.97,2.71,10.75,7.12,5.46,6.95,9.7,4.01,6.97,10.62,10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,3.4,3.57,6.59,4.92,12.1,6.56,6.53,8.38,4.61,7.9,3.81,10.05,7.04,9.9,4.53,6.8,16.63,4.12,4.66,9.16,10.74,4.99,15.86,7.49,6.33,8.73,7.59,4.95,6.74,16.84,11.3,6.46,4.09,5.38,3.09,2.18,12.27,10.49,10.48,7.45,8.5,14.14,10.64,10.51,2.99,14.46,11.32,8.15,10.69,6.3,5.23,15.14,6.42,8.98,12.22,8.97,6.36,9.77,8.88,1.64,1.73,5.69,10.49,3.91,2.2,7.67,4.29,15.23,3.83,3.57,7.7,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
