TAFF FECHAN NEUADD RESERVOIR No. 3 east,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO029202,Long,-3.411785,Lat,51.871891,Elevation,1843,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,5,6.6,2.72,3.95,2.89,7.36,,,,,,,,,,,6.85,1.84,7.4,7.85,5.1,7.85,6.7,3.35,7.25,6.98,8.34,10.4,8.65,4.9,7.04,5.8,10.5,9.45,15.08,3.45,14.7,8.45,12.54,6.35,9.85,3.8,10.15,10.1,11.55,11.85,4.5,4.15,6.3,13.6,8.6,5.8,11.2,7.5,17.1,2.6,5.4,8.8,6.5,2.1,4,5.85,9.3,9.9,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,5.84,0.3,1.75,4.93,4.59,4.83,,,,,,,,,,,7.06,4.67,5.5,2.54,6.3,9.15,8.5,1.45,5.9,5.63,4.2,0.43,9,11.8,1.38,9.65,6.7,6.55,9.02,1.8,1.21,7.86,0.5,8.7,0.75,7.75,3.85,10.4,3.5,7.35,6.3,10.5,1.45,6.1,2.7,9,7.2,1.84,3.5,2.2,12.9,6,1.2,3.9,7,2.55,0.8,7.2,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,3.65,4.68,5.84,6.72,2.28,1.27,,,,,,,,,,,1.9,3,10,8.9,9.6,1.9,5.8,3.75,3.7,7.75,7.7,7.4,6.8,2.63,3.02,2.9,3.15,8.22,7.25,2.05,7.45,1.81,4.48,7.3,4.65,2.2,5.75,7.95,1.65,4.6,7.7,5.2,5.8,1.8,1.1,3.9,3.1,16.6,3.4,2.6,3.7,8,4.7,5.8,5.2,3.75,3,7.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,3.39,3.62,1.57,4.72,3.5,7.98,,,,,,,,,,,5.38,2.6,0.75,8.13,2.35,3.35,5.1,3.05,3.23,3.42,11.4,1.7,5.8,4.39,7.12,5.28,5.55,3.85,2.8,1.55,6.5,6.21,8.14,2.45,5.55,9.2,4.85,6.35,0.4,6.15,5.45,2.55,2.75,2.95,3.7,4.5,2.9,6.5,4.6,3.9,5.3,6.1,4.9,4.6,1.7,3.5,2.4,0.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,4.47,0.76,0.15,2.88,6.76,5.35,,,,,,,,,,,4.24,1.34,2.58,4.1,4.6,4.4,4.8,5.9,3.2,1.82,5,2.25,1.97,5.12,6.22,8.55,5.3,3.85,1.56,7.75,3.73,6.51,9.52,2.9,4.1,2.6,2.65,3.15,6.2,1.15,2.35,4.5,7.2,6.7,3.7,5.5,3.5,3.3,4.5,4.3,2.8,5,5.7,4.5,4,7.9,1.95,3.7,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,3.94,1.68,3.52,3.1,3.63,1.95,,,,,,,,,,,5.5,5.3,6.7,2.7,3.05,1.9,4.05,3.9,1.95,3.4,6.55,0.55,2.05,2.08,4.12,0.02,3.88,7.28,7.88,5.3,6.36,10.1,2.91,4.8,2.55,7.95,5.45,3.45,5.65,6,1.35,2.65,0.65,6.7,5,6.2,6.5,3.7,5.3,0.9,3.2,2.3,4.8,3,7.8,8.9,4.15,1.45,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,6.5,7.11,2.4,3.59,1.59,2.27,,,,,,,,,,,6.56,0.53,8.03,1.84,8.35,8,1.85,3.95,7.5,2.1,8.8,4.6,9.1,4.9,9.18,5.1,6.15,7.98,6.25,5.23,9.82,8.12,8.52,6.5,3.2,1.8,10.15,5.4,5.65,16.6,5.25,5.2,6,4.6,6.85,4.8,5,4.8,2.35,1.2,9,1.9,2.6,7.6,6,1,7.2,7.5,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,5.92,7,4.42,6.77,6.89,2.01,,,,,,,,,,,8.45,4.06,14.15,3.6,6.15,3.77,5.35,14.58,3.6,5.05,3.9,9.5,5.75,5.97,8.65,5.75,7.9,13.45,6.5,6.71,8.2,7.43,2.31,1.75,5.8,2.3,2.15,1.7,5.8,6.15,1,8,8.3,8.4,5.05,5.3,10.7,0.7,6.6,1.8,8.6,8.8,10.1,5.7,8.5,2.1,7.9,7.2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,4.18,1.9,8.55,5.52,1.6,5.2,,,,,,,,,,,0.8,4.18,1.63,4.06,3.2,1.5,4.3,3.3,12.1,4.8,6.58,3.9,4.4,6.28,11.33,5.5,4.75,11.25,4.3,3.35,9.62,4.06,7.44,2.95,6.4,9,5.35,3.35,3.15,1.7,4.8,1.15,5.8,7,7.9,6.15,12.8,4.2,6.3,1.8,11,6.4,4.4,6.2,10.4,3.7,8.5,10.9,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,7.15,5.1,5.98,3.13,8.68,5.98,,,,,,,,,,,6.85,5,7.26,7.3,4.25,5.55,14.3,9.8,5.1,4.1,4.95,2.83,2.1,11.8,9.73,9.4,7.95,9.28,12.95,11.74,11.05,3.18,13.21,9.7,7.8,10.5,5.35,5.3,11.55,5.6,8.2,10.1,8.85,7,8.7,7.6,1.7,1.8,3.6,7.5,2.9,2.1,6.1,4.2,14.85,4,4.2,7,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
