"TAFF FECHAN, NEUADD RESERVOIR No. 2 east",,,,,,,,,,
Grid ref,SO020192,Long,-3.424569,Lat,51.862746,Elevation,1993,ft,,
Station no,4164,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,11.1,12.2
February,,,,,,,,,1.2,10.4
March,,,,,,,,,9,4.1
April,,,,,,,,,8.95,7.35
May,,,,,,,,,2.85,2.6
June,,,,,,,,,3.5,4.9
July,,,,,,,,,8.2,11.1
August,,,,,,,,,2.15,7.2
September,,,,,,,,,0.8,8.4
October,,,,,,,,,10.2,13.6
November,,,,,,,,,13.1,19.6
December,,,,,,,,,20.4,13.4
Total,,,,,,,,,91.45,114.85
