"TAFF FECHAN, NEUADD RESERVOIR No. 2 west",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO020192,Long,-3.424569,Lat,51.862746,Elevation,1993,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,9.01,4.74,4.06,2.5,6.88,14.75,8.8,5.58,5.82,13.65,11.55,3.15,11.65,4.08,6.74,4.64,9.3,2.6,7.1,7.15,6.9,7.15,8.9,2.15,6.05,6,10.9,10.7,6.3,5.52,5.22,9.4,10.1,11.7,15.28,3.65,11.82,7.31,13.35,8.2,11.4,3.4,8.7,11.55,16.1,12,5.45,6,6.75,12.2,11,6.4,13.2,7.25,17.3,5,4.4,9.7,9.6,2.8,5.6,8,11.2,12.6,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,12.69,0.2,2.41,8.34,5.55,7.4,8.58,2.22,3.63,9.45,7.8,2.8,5.85,3.54,4.9,1.14,9,9.6,7.5,4.65,10.1,10.3,6.75,1.6,6.1,4.02,4.7,0.43,8.9,10.08,0.99,9.9,6.8,6.4,9.65,1.95,0.94,6.52,0.43,7.9,1.05,8.4,3.9,11.75,4.7,8.3,6.9,12.3,1.4,5.45,3.1,12.7,8.7,1.93,5,3.8,13.8,9,2.4,5.4,8.3,3.4,1.25,5.5,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,6.85,8.04,8.23,9.51,2.29,3.3,1.15,5.79,4.82,16.06,3.7,11.2,5.46,4.18,4.88,6.28,2.65,3,13.5,12.65,9.54,1.33,4.4,2.7,3.3,7.15,6.5,8.2,6.35,2.45,2.8,1.34,2.7,7.3,6.3,1.9,5.2,2.1,4.45,5.5,6.7,2.75,4.95,8.1,2.1,4.2,7.5,5.7,6.15,1.85,1.2,4.1,3.15,15.6,4.5,3.5,5.1,7.3,5.9,7.3,6.7,5.6,3.6,9.4,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,4.1,5.6,2.01,6.58,5.31,9.01,4.45,8.27,3.72,3.52,6.1,8.2,1.5,6.5,3.94,5.7,5.85,4.74,0.95,11.6,2.35,3,4.2,2.3,2.63,2.78,10.2,1.36,4.7,4.6,6.67,4.22,4.55,3.05,2.85,1.65,5.63,5.02,6.98,3.2,5.5,9.6,4.75,6.35,0.9,5.9,5.95,2.25,3.05,3,4.25,4.45,3,6.4,4.7,5.3,5.9,8,6,6.3,2.1,4.9,2,0.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,5.76,0.89,0.15,3.51,6.87,5.3,5.95,1.88,4.35,5.88,5.35,0.65,6.13,4.85,6.78,2.9,4.4,2.63,3.07,4.55,4.73,4.58,3.95,5.1,2.55,1.87,5.2,3.38,1.98,3.48,5.95,8.1,4.5,3.98,1.12,6.95,3.21,5.7,8.14,2.5,4.7,3.05,2.15,3.65,6.4,1.75,2.1,4.6,8.55,5.8,3.8,6.75,4.4,3.25,4.2,5.3,4,4.8,7.2,7.1,6,8,2,4.2,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,5.17,2.3,3.87,4,5.36,2.51,7.15,3.97,6.2,2.9,3.1,7.7,4,9.6,2.58,5.2,5.24,7.12,7.6,4.05,2.85,1.65,3.7,3.6,1.5,3.35,6.15,0.88,2.15,1.83,3.84,0.02,3.75,7.1,8.45,4.7,4.21,7,2.95,4.3,3.3,9.05,4.65,4.55,5.7,6.45,1.35,2.25,0.7,7,5.1,8.25,9.45,3.9,8,1.4,5.2,4.3,5,3.7,8.2,8.5,3.65,1.3,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,6.35,10.3,3.34,4.37,2.2,3.1,3.35,2.62,2.1,5.1,4.72,2.7,2.83,6.16,8.85,6.8,7.68,0.6,7.82,1.88,6.5,7.7,2.34,3.55,6.6,1.88,10.8,5.02,9.05,4.57,8.43,3.55,4.95,7.3,6.1,4.5,9,7.4,8.45,6.5,2.95,2.75,10,5.55,6,11.5,4.8,5,7,5.9,6.95,5.25,5.1,5,3.5,3.2,9.1,3.7,2.4,11.2,7.5,1,9.3,8.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,6.78,10.3,5.25,9.48,10.83,2.2,7.71,6.29,5.4,12,7,8.4,7,9.55,9.3,3.26,10.7,5.8,15.55,4.55,6.85,3.25,5.25,15.3,3.65,5.4,4.15,8.65,4.85,5.6,7.68,4.5,7.85,13.12,5.9,5.6,7.32,6.71,3,2.2,6.85,3.5,2.8,2.35,6.35,5.65,1.3,8.7,9.5,6.45,5.5,4.9,11,0.7,8.6,4.4,12.7,10.8,11.7,10.6,10.3,2.3,10.4,5.2,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.02,2.72,12.08,8.18,2.48,5.39,5,4.59,3.65,9.28,4.35,4,2.5,2.1,4.93,6.03,0.9,5.05,1.55,3.97,3,1.35,3.4,3.4,12.9,5.1,6.38,3.85,3.85,5.75,10.68,4.6,4.7,11.15,2.95,2.76,8.12,3.81,8.52,2.75,7.05,8.55,5.2,3.95,3.4,2.3,5.3,1.55,6.1,7.95,8.25,7.95,12.85,5.2,9.2,2.8,10.7,9.7,6.3,9.6,11.3,4,8,8.55,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,9.9,4.74,8.18,4.21,10.83,7.5,9.86,5.38,8.1,19.3,4.4,5.25,10.38,10.9,5,17.5,7.65,6.44,9.03,8.25,3.5,4.7,16.3,9.65,6,2.95,4.95,2.87,2.23,11.6,8.3,9.8,7.25,8.84,13.08,10.85,9.42,3.14,14.69,9.25,9.05,9.95,5.7,4.8,12,5.45,7.45,10.5,7.9,6.3,10.05,9.25,1.6,1.85,5.8,12,5,3.2,9.9,5.1,15.9,4.8,3.4,8.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
