TAFF FECHAN NEUADD RESERVOIR No. 6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO011209,Long,-3.438122,Lat,51.877866,Elevation,2099,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,6.12,4.48,3.34,7.58,18.41,9,6.89,6.01,16.65,13.7,3.8,11.45,4.4,8.3,5.7,12.75,4,9.25,12.15,10.1,10.6,14.3,2.15,9.4,10.25,17.2,16.05,8.2,8,8.9,14.65,14.8,13.2,21.25,4.35,16.53,9.15,20.21,10.65,16,3.6,11,12.35,18.65,14.65,5.25,5.6,8.9,16.1,14.5,7.8,19.3,7.7,22.5,6.6,5.4,12.3,10.4,3.4,6,9,13,20,9.7,11.8,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.4,3.08,9.47,5.74,8.87,10.97,2.06,3.97,11.9,11.8,3,7.15,5,5.75,1.44,11.1,12.3,10.3,6.6,15.2,14.75,10.2,1.72,9.8,5.35,8.2,0.65,12.25,15.02,1.37,13.65,8.5,7.8,14.25,2.15,1.16,8.31,0.41,7.55,0.9,12.7,4.5,14,5.15,10.65,8.75,13.85,1.65,7,3,15.5,11.25,2.85,7.7,5.6,16.3,14,3,6,9.2,4.5,1.75,11,13.9,1.2,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,12.98,10.14,13.08,2.48,3.64,1.53,10.65,5.59,17.15,4.2,12.36,5.9,4.52,6.5,8.25,3.22,3.76,16.8,19.15,14,2.8,6.2,4,4.9,11.4,11.35,12,9.8,2.89,4.18,7.38,2.78,9.6,9.74,2.18,6,1.95,5.2,8.95,8.4,2.55,6.55,9.25,2.25,5.65,10.85,6.8,7.1,2.15,1.2,7.15,4.35,21.3,6.4,4,7.4,10.1,7.1,8,9.3,6.6,4.3,11.2,5.1,9.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,6.3,2.15,8.29,5.96,9.53,4.84,8.67,4.43,3.6,6.2,9.1,1.94,6,4.44,6.9,7.3,5.8,1.2,14.15,3.5,4.2,5.8,5.6,4.08,4.11,15.2,2,6.6,6.78,9.33,5.92,5.68,4.15,3.57,1.6,6.72,6.4,9.47,3.5,6.3,12.35,5.15,7.1,0.45,6.75,5.25,2.65,4.05,4.5,5.35,5.4,3.45,9.4,5.4,10,7.3,8.5,6.6,8,2.9,5.9,3.3,1.1,2,9.1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,1.68,0.21,3.98,7.79,5.43,6.75,2.17,4.58,5.8,5.95,1,5.46,5.85,8.03,2.94,5.46,3.23,3.55,5.3,5.68,4.2,5.7,6.75,3.63,2.65,7.05,4.6,2.85,4.98,8.83,10.45,6.2,4.38,1.58,9.4,3.99,7.3,11.18,2.75,5.8,2.5,2.6,3.6,7.1,1.2,3,5.75,11,9.2,4.4,7.2,5.25,4,5.2,7.9,5.1,6,8.2,8,6.7,9.4,3,5.65,9,2.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,5.98,2.66,4.33,4.51,5.85,2.5,7.75,4.61,5.84,2.92,3.85,7.9,4.55,12.3,3.35,5.43,6.7,7.94,9.62,5.11,3.72,2.1,5.1,4.9,2.85,5.15,7.78,0.11,2.6,2.85,5.32,0.03,5.1,9.1,11.65,5.9,6.28,10.7,3.74,4.2,3.65,10,6.1,4,6.35,8.9,1.5,2.3,0.9,8.5,7.4,10.8,11.9,4.9,10.3,1.9,6,4.8,6.3,4.4,10.5,12,5.3,1.5,5.45,3.8,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,7.1,11.06,3.68,4.24,1.79,2.77,3.51,3.49,3.35,5,5.6,2.7,2.78,7.6,10,7.5,8.55,0.78,9,2.5,9.9,10.5,3.2,5.25,11,2.48,13.5,7.13,12.05,5.98,10.58,4.48,6.7,10.75,7.3,7.32,11.21,10.35,9.61,7.75,3.25,2.45,14.4,6.4,7.2,18.6,7,6.25,9,7.2,7.65,6.65,6.4,6,5.1,3.4,10.1,4.2,4.4,12,8.9,3.3,9.45,10.8,8.2,8.7,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,7.04,12.25,5.14,11.18,12.66,1.94,9.45,6.89,5.25,12.4,7.05,9.05,7.2,10.97,11.03,3.51,12.4,7.6,17.56,5.3,9.45,4.96,6.45,20.95,5.2,7.35,5.4,13.47,7.15,7.82,9.7,7.65,9.23,16.98,8.63,7.54,9.15,10.13,3.89,2.45,9,3.3,3.4,2.2,6.7,8.5,1.55,10.7,11.15,10.7,5.7,6.75,15.3,1.1,11.1,5,14.2,12.4,12.4,11.3,12.1,3.3,10.7,8.5,7.5,2.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.65,2.85,13.6,9.62,3,5.96,5.95,5.9,3.75,8.95,4.7,5.05,2.5,2.46,6.03,6.4,1.17,5.9,2.1,4.73,4.1,1.74,5.1,4.95,18,6.3,7.88,5.56,5.85,7.17,14.45,5.62,5.15,14.25,3.5,3.73,10,4.5,9.51,2.8,9.4,12.95,6.55,4.55,3.8,2.2,6.5,1.6,8.25,9.4,11.5,10.75,15.95,6,12.7,3.6,15.9,10.7,7.2,10,13.8,5,11.1,14.5,14.5,1,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,11.38,5.72,10.39,4.62,12.69,7.58,10.92,5.58,8.6,19.5,4.12,4.45,10.5,12.1,5.2,21.97,8.95,8.2,11.15,9.22,5.4,6,21.05,13.7,9.05,3.3,6.86,3.84,2.57,15.27,12.32,13.8,9.28,14.65,16.25,14.55,12.33,3.82,16.13,13.75,10.9,15,6.3,5.5,16.4,6.8,13.8,12.95,9.95,8.85,12.5,12,2.3,2.65,7.2,13.1,6.5,4,10.5,5.9,19.7,5.75,5.4,10.8,9,10.5,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
