"TAF FECHAN (NEUADD RESERVOIR)",,,,,,,,,,,,
Grid ref,SO028181,Long,-3.412646,Lat,51.852999,,,,,,,
Station no,4159,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.38,8.10,2.56,4.46,7.36,9.52,11.50,6.97,,,,
February,8.15,1.57,3.89,7.62,3.03,0.76,6.84,10.76,,,,
March,7.78,5.78,6.36,5.99,3.43,2.47,7.41,2.01,,,,
April,6.71,5.31,5.47,1.84,3.55,2.04,0.47,1.71,,,,
May,4.27,6.54,4.69,4.72,7.95,1.60,2.98,6.12,,,,
June,2.21,4.99,2.44,7.77,8.52,3.60,1.23,4.75,,,,
July,1.97,3.11,7.73,6.22,0.89,6.32,6.85,6.24,,,,
August,10.25,10.70,5.19,8.12,1.91,6.86,5.71,6.81,,,,
September,7.12,5.46,6.95,9.70,4.01,6.97,10.62,10.81,,,,
October,2.20,7.67,4.29,15.23,3.83,3.57,7.70,6.59,,,,
November,14.05,7.56,7.68,13.35,5.05,2.51,3.60,3.50,,,,
December,9.04,7.69,2.37,8.17,11.83,6.89,7.58,8.00,,,,
Total,83.13,74.48,59.62,93.19,61.36,53.11,72.49,74.27,,,,
Calc annual,83.13,74.48,59.62,93.19,61.36,53.11,72.49,74.27,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
