OAKHAM,,,,,,,,,,
Grid ref,SK863085,Long,-0.72529096,Lat,52.667353,Elevation,350,ft,,
Station no,2523/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.65,2.37,4.05,1.2,2.69,3.41,4.73
February,,,,2.28,2.71,0.51,2.67,3.86,0.04,1.9
March,,,,2.27,2.44,1.03,2.11,1.92,2.03,1.67
April,,,,0.25,0.99,0.86,0.57,0.56,1.6,0.48
May,,,,3.37,3.25,0.75,1.3,2.03,0.56,1.12
June,,,,2.92,2.94,3.16,1.53,3.84,1,1.36
July,,,,2.09,0.65,2.14,3.69,3.35,1.99,3.3
August,,,,2.85,0.65,4.43,4.2,1.36,0.86,2.44
September,,,,2.37,2.58,1.7,5.28,1.82,0.22,3.69
October,,,,2.71,1.78,1.22,0.89,1.94,1.78,6.08
November,,,,4.81,1.07,0.55,1.65,1.4,1.81,3.22
December,,,,2.78,1.82,2.18,2.55,2.51,4.06,4.24
Total,,,,30.35,23.25,22.58,27.64,27.28,19.36,34.23
