CREWE-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ685554,Long,-2.471848,Lat,53.094869,Elevation,125,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2765/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.68,4.35,1.92,2.24,2.68,4.73,3.15,2.19,2.4,1.44,5.02,1.86,0.92,1.85,3.02,0.91,1.62,2.29,3.95,1.5,2.65,3.19,4.74
February,,,,,,,,0.58,1.87,1.78,2.51,1.79,1.37,1.35,2.09,4.56,1.07,1.72,1.01,4.58,2.03,1.05,1.8,2.54,1.82,0.54,2.09,3.99,0.3,2.36
March,,,,,,,,0.58,1.57,2.4,3.13,1.76,0.83,0.7,0.87,0.81,4.29,0.86,2.08,1.07,4.72,1.3,1.07,2.45,2.34,1.49,2.41,1.32,1.51,1.24
April,,,,,,,,0.21,1.71,2.13,1.4,1.21,1.16,1.56,1.05,1.05,2.43,2.43,3.03,3.74,1.95,2.43,2.88,0.53,1.86,1.97,0.37,0.77,3.39,1.34
May,,,,,,,2.56,2.61,1.4,1.06,2.67,3.96,1.93,1.72,3.49,1.54,2.89,1.44,2.36,1.28,2.82,2.23,1.73,2.19,2.54,0.59,1.31,2.08,1.44,1.53
June,,,,,,,1.01,2.03,1.51,1.38,0.59,0.69,2.88,2.21,2,2.51,1.56,3.48,0.84,1.92,0.91,2.16,1.8,4.23,3.32,2.09,1.7,4.44,1.97,2.96
July,,,,,,,2.67,2.54,5.79,4.08,1.61,2.53,2.27,3.35,0.9,3.9,2.14,2.56,2.14,2.71,2.04,2.33,3.69,3.57,0.57,4.68,4.99,3.24,1.98,4.49
August,,,,,,,2.64,3.1,1.5,0.62,3.89,2.99,2.79,2.11,3.18,3.73,0.38,3.47,1.49,4.52,4.08,1.55,2.82,3.66,0.99,6.42,3.83,2.73,0.7,3.86
September,,,,,,,1.67,1.33,0.69,2.53,0.86,2.07,3.99,2.97,1.11,3.23,1.45,1.89,0.58,4.24,2.17,2.24,2.49,2.76,2.75,1.99,5.71,3.89,0.12,3.59
October,,,,,,,1.98,3.1,2.79,3.49,3.68,2.16,2.38,3.92,5.21,0.8,0.47,1.76,3.07,1.59,1.1,3.59,2.06,5.01,1.57,2.42,2.33,2.89,2.44,3.93
November,,,,,,,1.42,2.95,4.21,7.07,2.54,0.59,2.77,4.55,0.62,4.11,3.41,1.77,3.99,3.57,6.39,1.6,1.72,4.78,1.46,1.16,1.41,1.58,3.05,4.37
December,,,,,,,3.19,2.85,1.54,2.18,1.26,3.15,1.26,1.54,2.47,3.33,1.91,2.85,2.73,3.24,3.75,3.26,1.21,3.6,2.92,2.73,1.91,2.9,4.51,2.41
Total,,,,,,,,25.56,28.93,30.64,26.38,25.58,28.36,29.13,25.18,31.97,23.44,29.25,25.18,33.38,33.81,26.76,24.18,36.94,24.43,30.03,29.56,32.48,24.6,36.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s records and is near the sewage works. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 adjusted for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
