CREWE (SEWAGE WORKS),,,,,,,,,,,,
Grid ref,SJ685554,Long,-2.471848,Lat,53.094869,,,,,,,
Station no,2765/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.85,3.02,0.91,1.62,2.29,3.95,1.50,2.65,3.19,4.74,,
February,2.03,1.05,1.80,2.54,1.82,0.54,2.09,3.99,0.30,2.36,,
March,4.72,1.30,1.07,2.45,2.34,1.49,2.41,1.32,1.51,1.24,,
April,1.95,2.43,2.88,0.53,1.86,1.97,0.37,0.77,3.39,1.34,,
May,2.82,2.23,1.73,2.19,2.54,0.59,1.31,2.08,1.44,1.53,,
June,0.91,2.16,1.80,4.23,3.32,2.09,1.70,4.44,1.97,2.96,,
July,2.04,2.33,3.69,3.57,0.57,4.68,4.99,3.24,1.98,4.49,,
August,4.08,1.55,2.82,3.66,0.99,6.42,3.83,2.73,0.70,3.86,,
September,2.17,2.24,2.49,2.76,2.75,1.99,5.71,3.89,0.12,3.59,,
October,1.10,3.59,2.06,5.01,1.57,2.42,2.33,2.89,2.44,3.93,,
November,6.39,1.60,1.72,4.78,1.46,1.16,1.41,1.58,3.05,4.37,,
December,3.75,3.26,1.21,3.60,2.92,2.73,1.91,2.90,4.51,2.41,,
Total,33.81,26.76,24.18,36.94,24.43,30.03,29.56,32.48,24.60,36.82,,
Calc annual,33.81,26.76,24.18,36.94,24.43,30.03,29.56,32.48,24.60,36.82,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
