SEAMER-IN-CLEVELAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ499103,Long,-1.231277,Lat,54.485599,Elevation,315,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.72,0.27,0.74,0.95,1.71,3.14,2.24,3.26,1.71,0.81,1.53,1.75,1.6,1.12,1.96,1.81,3.77,0.72,1.74,0.7,2.3,1.83,1.6,0.58,2.2,1.36,0.34,2.52,0.44,1.2,0.68,2,1.44,2.49,2.75,1.61,2.56,0.86,,,
February,,,,,,,,,,2.15,1.86,3.2,0.65,2.36,1.12,1.58,0.59,0.67,2.35,1.36,1.01,0.06,1.76,2.14,2,0.91,0.43,1.17,1.09,0.53,4.16,2.05,1.11,1.29,1.86,0.6,1.31,1.3,1.35,1.51,2.05,0.93,1.48,0.75,1.16,2.91,3.09,,,
March,,,,,,,,,,0.7,1.63,1.91,2.05,2.42,2.04,2.05,1.7,1.72,3.42,2.82,2.11,2,1.76,0.68,0.98,2.55,2,2.29,2.77,1,1.29,2.13,0.61,2.14,1.07,1.08,1.25,0.72,2.51,3.47,0.5,2,2.48,2.1,1.45,1.31,3.71,,,
April,,,,,,,,,,1.68,2.64,1.01,4.08,1.11,2.16,2.05,2.41,1.1,1.62,1.49,0.68,1.43,1.76,0.36,0.98,1.48,0.59,1.71,1.74,2.15,1.08,1.12,1.53,1.37,1.32,2.3,0.92,2.51,2.51,2.27,2.79,1.17,0.18,2.95,0.44,1,1.49,,,
May,,,,,,,,,,2.48,1.59,0.91,1.93,1.96,0.57,2.47,3.74,2.37,0.44,1.7,2.31,2.62,2.73,1.52,1.77,1.02,0.86,0.95,1.98,3.34,1.28,1.54,2.75,2.93,3.11,1.02,3.62,3.53,2.33,1.91,1.95,1.84,2.25,1.45,2.18,1.91,2.88,,,
June,,,,,,,,,,3.02,2.73,1.67,3.06,2.49,0.87,2.33,0.67,0.27,1.92,0.64,1.84,0.36,3.69,1.86,3.34,1.93,3.49,2.26,2.03,1.2,3.3,1.33,1.99,2.72,1.27,0.85,1.21,4.17,0.77,3.56,1.73,4.49,4.44,1.32,5.31,1.79,1.67,,,
July,,,,,,,,,,3.82,4.83,5.96,4.03,5.5,3.4,0.52,5.46,1.12,4.48,2.98,1.77,5.81,1.68,2,2.7,6.57,3.3,0.94,1.07,1.35,1.51,3.66,3.28,3.66,2.37,0.96,1.18,1.25,2.63,2.81,2.91,0.68,4.52,1.21,5.19,3.97,2.11,,,
August,,,,,,,,,,3.93,1.37,4.85,2.96,2.14,1.43,3.19,1.91,1.75,2.53,4.52,4.82,4.59,3.3,1.92,2.59,3.98,2.64,4.25,2.62,0.79,4.93,1.4,2.59,1.71,2.56,3.13,2.16,2.23,2.19,4.07,3.19,2.86,3.59,1.46,0.86,2.83,1.86,,,
September,,,,,,,,,,1.29,4.31,3.36,2.15,3.13,0.86,2.91,2.1,3.7,1.83,1.25,1.85,2.9,2.03,1.92,1.2,1.12,2.58,2.18,0.21,2.87,0.77,0.68,1.05,2.98,1.44,2.61,0.61,0.54,2.06,2.43,0.53,1.92,1.63,1.87,2.24,1.33,2.27,,,
October,,,,,,,,,,0.81,6.46,2.96,4.08,2.92,1.44,4,2.9,3.1,0.6,6.11,1.81,2.62,6.35,1.08,5.17,4.22,5.4,1.58,2.76,2.87,5.4,1.63,2.63,5.44,0.52,2.39,5.16,4.39,1.02,2.6,2.72,2.36,2.05,3.11,2.23,1.18,2.71,,,
November,,,,,,,,,,2.71,2.2,2.53,3,1.51,1.23,1.17,2.75,2.85,2.67,1.05,3.9,2.04,0.98,3.9,0.85,1.84,2.08,2.09,2.82,1.44,2,3.37,0.68,1.55,1.67,5.39,3.73,2.06,1.41,1.98,1.93,3.53,3.16,1.53,2.97,2.1,2.3,,,
December,,,,,,,,,,0.8,3.89,2.92,4.32,1.88,1.85,0.98,3.55,1.76,1.05,1.53,1.09,2.26,1.03,1.97,1.51,1.11,2.84,1.58,1.21,2.16,1.53,3.98,1.42,0.7,1.59,0.51,1.86,3.19,0.7,3.52,1.94,3.59,0.98,1.37,4.32,3.74,1.92,,,
Total,,,,,,,,,,24.11,33.78,32.02,33.26,29.13,20.11,25.49,31.04,22.12,23.72,26.98,24.94,28.29,28.19,21.31,24.9,30.5,26.93,22.74,21,22,29.08,24.49,20.22,28.69,20.14,21.18,25.53,26.33,20.68,30.81,24.24,26.81,29.25,21.87,29.96,26.63,26.87,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The early elevation estimates of 'about 200 ft' are too low. The 1912 elevation figure is more accurate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
