RICHMOND GILLING WEST THE LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ183049,Long,-1.71936,Lat,54.439186,Elevation,430,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,0.86,4.61,0.85,1.33,1.03,3.52,1.61,4.26,4.44,1.77,3.59,1.77,4.43,3.46,4.84,4.5,5.78,,,,,,,,,
February,,,,,,1.76,1.4,1.54,2.82,1.29,3.42,2.35,2.29,0.96,2.47,4.31,5.01,0.95,3.68,2.47,1.73,0.13,,,,,,,,,
March,,,,,,2.7,1.55,1.74,3.3,4.76,0.75,1.88,3.19,4.5,2.02,1.19,6.22,3.26,1.57,3.97,3.7,1.21,,,,,,,,,
April,,,,,2.05,3.09,0.63,1.23,2.7,2.05,2.5,1.08,0.07,3.34,0.88,0.78,1.06,2.31,2.02,1.9,5.69,0.96,,,,,,,,,
May,,,,,4.49,0.76,3.71,4.02,2.02,1.72,2.34,1.13,2.86,1.97,2.05,2.47,4.09,1.48,2.74,1.43,3.59,1.68,,,,,,,,,
June,,,,,2.11,2.58,0.83,3.42,0.63,2.46,2.29,3.86,6.28,1.12,3.4,0.49,1.47,1.67,0.39,1.05,0.52,0.53,,,,,,,,,
July,,,,,2.62,0.77,1.43,2.34,2.97,2.11,3.24,0.36,3.13,1.08,3.42,3.77,3.03,1.57,4.45,2.69,6.16,2.7,,,,,,,,,
August,,,,,3.97,4.93,2.9,1.39,1.88,3.5,3.47,2.48,5.95,1.14,1.91,4.16,2.02,8.41,3.3,3.05,1.55,4.44,,,,,,,,,
September,,,,,0.74,2.67,0.52,0.52,3.09,2.15,0.18,1.66,2.18,2.22,1.73,1.07,3.1,0.88,6.73,0.9,1.28,1.09,,,,,,,,,
October,,,,,0.9,1.97,5.27,5.81,2.17,2.54,2.29,3.29,2.35,3.04,2.46,2.01,4.48,3.55,2.98,5.67,2.67,1.59,,,,,,,,,
November,,,,,2.17,6.36,2.75,2.27,1.13,0.56,3.58,5.06,1.83,1.88,4.18,2.72,3.62,1.27,2.02,4.33,2.21,3.1,,,,,,,,,
December,,,,,2.59,1.05,2.19,3.46,1.33,4.45,3.92,5.59,3.23,1.87,6.78,7.78,2.82,2.91,4.57,4.73,3.88,2.96,,,,,,,,,
Total,,,,,,29.5,27.79,28.59,25.37,28.62,31.5,30.35,37.62,27.56,33.07,34.34,38.69,32.69,37.91,37.03,37.48,26.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauge moved from The Grove in 1904; this was 3 miles to the south and at 430'; another file, same location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
