RICHMOND THE GROVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ172010,Long,-1.7355,Lat,54.4043,Elevation,309,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,0.74,5.84,3.27,1.25,0.32,0.79,2.44,5.38,6.36,2.17,5.58,2.18,0.59,0.96,3.9,1.7,1.76,1.66,2.86,4.94,0.8,1.25,1.59,4.95,4.43,1.77,0.98,4.14,3.03,,,,,
February,,,,,,,2.84,1.87,1.56,3.57,3.19,4.64,1.88,3.27,1.26,2.21,0.55,1.52,1.72,1.2,1.47,0.2,2.68,4.17,4.55,0.88,0.54,2.5,2.24,1.85,6.06,1.48,1.69,3.19,3.03,,,,,
March,,,,,,,3.61,2.96,0.89,1.44,1.35,3.47,2.65,2.25,3.32,2.84,2.27,1.44,4.6,3.21,2.37,1.75,1.26,0.37,2,2.85,3.06,4.69,2.09,0.87,1.47,3.04,1.37,4.57,,,,,,
April,,,,,,,3.37,4.3,1.55,2.9,2.32,1.66,5.47,2.82,1.89,1.81,3.93,1.12,2.35,4.67,1.07,4.93,1.39,0.76,1.79,2.03,0.62,1.49,3.34,3.11,2.14,1.97,1.67,1.16,,,,,,
May,,,,,,,0.67,2.15,6.02,1.74,1.49,1.57,1.19,2.27,1.13,3.93,5.46,2.37,0.9,2.1,3.19,2.62,2.33,2.41,2.31,0.69,0.61,0.79,2.53,4.22,1.83,1.61,3.52,5.4,,,,,,
June,,,,,,,2.36,1.9,3.62,4.97,1.71,2.34,3.48,2.23,0.86,2.32,1.24,0.31,3.43,0.15,3.58,0.6,3.25,1.05,3.97,1.5,3.61,2.24,2.33,2.98,3.99,1.69,1.37,2.73,,,,,,
July,,,,,,,2.18,3.95,0.46,4.19,6.49,5.74,4.14,3.99,6.38,0.33,5.76,1.5,3.96,2.2,1.78,4.76,1.28,3.38,2.89,5.97,2.02,0.91,0.81,2.88,1.75,5.03,2.97,4,,,,,,
August,,,,,,2.72,2.03,5.68,5.43,3.45,2.25,7.82,2.66,1.35,1.38,1.98,2.01,1.88,1.61,4.46,6.42,5.24,4.75,2.06,2.06,1.57,1.51,2.59,2.1,1.39,8.16,2.13,2.85,2.96,,,,,,
September,,,,,,2.76,4.86,2.17,2.17,1.68,4.93,4.88,2.94,3.79,1.81,3.21,2.5,3.54,1.15,0.61,1.85,2.5,2.12,1.29,0.93,0.95,4.35,2.75,0.59,4.41,0.66,1.75,1.06,3.5,,,,,,
October,,,,,,4.69,2.41,3.58,1.91,1.11,6.46,4,3.88,3.41,2.17,6.03,6.42,2.12,0.77,5.69,1.25,3.65,6.85,1.3,4.95,3.23,4.18,1.88,4.44,3.1,5.2,1.88,3.72,10.16,,,,,,
November,,,,,,5.99,3.77,3.83,5.15,1.95,2.79,4.8,4.69,2.2,1.15,2.15,4.14,3.43,6.66,1.21,4.43,4,1.56,2.48,1.33,5.07,1.31,1.61,2.72,3.1,3.59,5.88,2.64,1.71,,,,,,
December,,,,,,2.16,7.9,2.4,2.64,1.59,4.75,4.33,5.59,1.51,3.57,0.87,4.83,2.32,1.52,1.33,1.12,4.64,0.45,2.58,1.99,3.2,4.67,3.41,2.86,3.67,3.43,4.07,3.34,2.49,,,,,,
Total,,,,,,,36.74,40.63,34.67,29.84,38.05,46.04,41.01,34.47,31.28,29.85,44.69,23.73,29.26,27.79,32.43,36.59,29.68,23.51,31.63,32.88,27.28,26.11,27.64,36.53,42.71,32.3,27.18,46.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904 gauge moved 3 miles north and to 303' to Gilling West The Lodge. Second file with same location name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
