"LYE (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SO918851,Long,-2.122121,Lat,52.463780,,,,,,,
Station no,2314/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.13,2.37,0.87,0.98,2.46,2.48,1.27,2.73,3.28,5.87,,
February,2.89,0.32,1.18,2.31,1.94,0.39,2.59,4.93,0.34,2.38,,
March,4.05,1.65,1.17,2.25,3.18,1.24,2.71,1.14,2.00,1.80,,
April,2.37,1.92,2.50,0.59,1.49,1.94,0.16,0.28,3.02,0.98,,
May,2.94,2.89,1.73,3.02,5.40,0.93,1.53,1.97,0.96,1.28,,
June,1.01,1.29,2.66,3.61,2.49,2.38,1.25,4.56,1.64,2.25,,
July,1.47,0.99,3.28,3.97,0.28,3.34,4.64,4.43,1.63,3.17,,
August,4.37,4.30,2.72,5.36,0.86,5.03,3.77,3.73,1.74,5.05,,
September,3.43,1.24,3.05,2.08,1.32,3.26,5.12,3.90,0.09,4.93,,
October,0.60,4.05,1.70,3.16,2.39,2.27,1.56,2.66,2.81,6.05,,
November,6.47,1.92,1.96,5.64,3.30,0.81,2.42,2.21,4.22,4.15,,
December,2.67,2.72,1.20,2.47,2.27,2.71,1.94,2.90,5.51,3.73,,
Total,34.40,25.66,24.02,35.44,27.38,26.78,28.96,35.44,27.24,41.64,,
Calc annual,34.40,25.66,24.02,35.44,27.38,26.78,28.96,35.44,27.24,41.64,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
