CALLINGTON HINGSTON DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX366705,Long,-4.3057,Lat,50.5122,Elevation,850,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,5.29,6.41,4.9,8.13,10.1,10.35,11.75,11.15,5.78,5.1,15.08,12.54,7.41,10.87,2.38,10.17,3.75,6.68,1.14,3.06,3.4,5.52,5.9,3.67,5.7,4.84,2.56,2.06,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.89,2.26,3.67,4.77,6.5,7.09,4.62,9.12,9.31,4.74,10.11,4.32,4.06,2.09,6.79,3.72,3.27,7.36,4.87,6.95,3.54,6.77,5.07,6.1,1.53,1.15,0.64,2.82,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,5.59,3.14,2.86,2.65,4.37,5.75,5.3,3.7,4.46,3.11,7.24,5.09,2.13,2.1,4.86,4.53,2.19,1.37,2.62,4.72,2.19,1.61,5.28,2.38,4.09,2.04,5.47,3.91,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,4,2.54,1.13,0.81,2.3,5.88,5.49,3,0.19,8.42,3.22,0.4,3.06,1.59,4.86,5.73,4.26,3.23,2.91,1.47,6.08,1.48,2.02,4.8,2.34,1.48,2.77,2.33,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,3,2.22,1.02,4.23,1.97,5.06,4.04,8.95,4.47,0.25,1.52,2.26,0.85,3.35,0.22,5.05,6.28,3.04,1,1.61,1.93,2.84,2.3,3.9,3.23,2.21,3.14,3.94,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,5.69,5.07,2.21,1.2,3.84,2.07,1.43,0.39,0.33,1.94,6.31,3.53,2.2,6.22,2.59,2.3,3.13,9.42,1.69,4.68,5.03,4.99,1.46,2.94,0.94,0.23,3.55,0.78,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,6.86,4.13,1.8,2.55,4.74,1.64,5.12,0.4,1.94,1.65,7.63,4.52,5.08,2.57,5.74,2.15,5.43,2.32,5.15,5.15,2.57,6.66,5.74,4.81,1.02,4.34,2.82,7.68,5.16,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,3.26,3.56,4.79,2.01,6.52,7.47,1.86,7.48,0.74,1.89,3.7,2.36,6.77,5.72,3.47,5.35,7.63,6.18,7.43,0.88,5.66,4.24,1.96,2.15,2.99,3.27,1.48,4.03,3.57,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,4.33,6.16,7.86,5.08,0.18,13.8,2.72,6.71,7.63,2.47,7.3,5.16,2.93,7.54,6.21,7.86,4.19,4.62,4.83,5.49,2.94,4.85,7.87,2.86,7.7,4.34,5.34,1.83,2.59,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,3.88,9.66,7.76,3.27,10.87,2.43,8.41,8.01,3.63,8.47,8.43,9.68,3.89,7.99,7.78,6.85,4.51,5.97,2.82,6.22,3.91,7.71,4.91,2.22,7.3,6.95,5.08,2.7,5.89,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,6.71,2.44,4.82,7.41,8.38,5.21,2.15,10.49,5.14,4.31,1.89,10.46,5.43,5.29,7.32,5.78,9.94,4.01,0.27,4.98,6.96,6.3,5.96,3.11,5.44,4.89,4.26,8.75,3.49,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,5.01,6.12,5.09,4.53,7.69,7.98,5.26,16.28,8.09,3.58,7,12.21,1.31,6.5,3.28,13.71,3.93,5.07,2.49,5.52,5.21,8.37,1.67,6.2,2.87,6.6,4.77,5.63,3.52,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,57.53,53.76,40.64,60.17,67.61,61.72,82,63.48,46.91,59.51,87.87,53.55,55.32,60.02,63.4,67.13,51.05,54.09,42.47,49.74,60.3,51.32,43.38,51.11,48.22,35.7,48.75,40.06,49.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
