"DEPTFORD KENT WATERWORKS",,,,,,,,,,,,
Grid ref,TQ375766,Long,-0.021684,Lat,51.471665,,,,,,,
Station no,15,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.91,0.67,0.56,2.11,2.19,1.04,3.49,0.98,1.25,0.67,,
February,2.99,0.90,0.72,1.09,2.28,0.64,1.56,1.18,1.44,0.55,,
March,0.77,1.80,1.27,1.93,1.27,3.41,0.96,0.90,2.12,2.70,,
April,0.81,1.59,0.41,1.69,0.91,1.50,0.69,3.00,1.98,1.48,,
May,1.08,1.69,2.68,2.01,1.86,1.23,1.49,1.47,1.40,0.98,,
June,2.31,1.27,2.73,5.74,0.74,4.45,2.63,2.33,2.23,3.20,,
July,0.90,1.29,1.00,4.52,1.97,0.67,0.39,0.90,3.55,3.02,,
August,2.35,1.89,2.46,4.48,1.38,2.68,1.39,1.69,3.19,1.42,,
September,0.63,1.27,1.72,2.13,1.07,2.15,1.97,0.69,1.16,1.91,,
October,1.46,2.45,1.04,4.43,1.49,0.85,3.09,2.59,2.04,3.67,,
November,1.73,0.72,1.33,1.70,1.65,2.79,4.10,2.10,0.81,0.65,,
December,2.13,2.77,1.35,1.18,2.02,0.46,1.74,2.57,1.96,2.22,,
Total,19.07,18.31,17.27,33.01,18.83,21.87,23.50,20.40,23.13,22.47,,
Calc annual,19.07,18.31,17.27,33.01,18.83,21.87,23.50,20.40,23.13,22.47,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
