"DEPTFORD WATERWORKS",,,,,,,,,,,,
Grid ref,TQ375766,Long,-0.021684,Lat,51.471665,,,,,,,
Station no,15,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.30,1.77,0.85,1.12,2.38,3.05,1.35,1.59,1.86,1.49,,
February,5.94,0.87,1.41,2.07,1.34,0.22,2.33,2.12,,1.57,,
March,2.74,2.04,0.54,1.84,0.99,1.08,0.67,1.19,1.49,1.80,,
April,2.71,1.02,2.00,0.33,0.23,0.98,0.20,1.52,2.13,0.59,,
May,1.91,0.83,1.82,1.82,4.08,0.49,1.08,2.04,1.02,1.85,,
June,1.34,1.18,1.18,2.62,2.06,2.35,0.83,4.60,0.68,1.04,,
July,1.51,0.63,3.78,2.40,0.05,3.96,3.72,2.32,1.09,3.30,,
August,2.88,3.00,1.33,4.63,0.67,2.91,1.55,4.20,1.64,2.94,,
September,3.16,2.65,2.15,2.10,2.46,2.01,2.34,4.14,0.11,5.02,,
October,0.79,2.64,3.86,1.50,3.30,1.08,1.64,2.51,1.79,5.08,,
November,4.30,3.36,0.98,3.59,0.36,0.36,2.64,1.76,2.74,3.67,,
December,1.54,2.21,0.54,1.27,1.67,2.58,1.74,2.74,3.60,2.07,,
Total,31.12,22.20,20.44,25.29,19.59,21.07,20.09,30.73,18.15,30.42,,
Calc annual,31.12,22.20,20.44,25.29,19.59,21.07,20.09,30.73,18.15,30.42,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
