PEEL (GLEN MAYE FILTER HOUSE),,,,,,,,,,,,
Grid ref,SC237798,Long,-4.703202,Lat,54.183592,,,,,,,
Station no,4414/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.36,3.19,3.17,2.70,2.71,4.13,2.57,2.76,,
February,,,1.76,4.37,2.47,0.89,3.60,3.91,0.84,3.08,,
March,,,0.02,3.39,1.82,1.28,2.32,1.39,3.79,2.00,,
April,,,2.05,0.19,1.51,0.89,0.76,0.86,2.21,2.57,,
May,,,2.65,2.56,1.65,0.81,2.65,2.43,0.92,2.36,,
June,,,1.50,1.61,4.06,2.23,1.29,3.56,1.78,1.20,,
July,,,3.26,2.67,1.61,2.86,2.95,2.35,1.44,4.81,,
August,,,2.68,2.90,1.72,8.08,2.48,4.70,0.48,2.34,,
September,,,4.99,4.16,1.67,3.09,4.92,3.94,1.73,3.31,,
October,,,3.14,6.98,2.36,2.27,4.41,3.21,4.69,7.25,,
November,,,5.31,5.98,3.62,1.31,2.76,2.13,4.33,5.51,,
December,,,1.95,3.89,4.81,3.18,4.36,6.42,6.26,3.21,,
Total,,,30.67,41.89,30.47,29.59,35.21,39.03,31.04,40.40,,
Calc annual,0.00,0.00,30.67,41.89,30.47,29.59,35.21,39.03,31.04,40.40,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
