ERITH-ST-JOSEPHS-CONVENT,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ476779,Long,0.12417289,Lat,51.480804,Elevation,213,ft,,,,,,,,,,,,,
Station no,415,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,2.17,1.06,1.5,1.2,1.85,1.19,3.68,3.56,2.24,,
February,,,,,,,,,,,0.94,1.5,0.29,1.41,0.13,2.07,1.38,3.28,0.46,,
March,,,,,,,,,,,1.57,0.25,1.6,1.96,2.17,0.38,0.91,2.61,0.32,,
April,,,,,,,,,,,1.13,4.21,1.7,0.76,1.99,2.88,1.49,2.39,0.17,,
May,,,,,,,,,,,2.81,2.95,3.75,2.07,0.46,1.28,0.41,3.26,1.51,,
June,,,,,,,,,,,0.51,1.94,0.83,1.84,1.31,3.41,2.66,2.31,0.36,,
July,,,,,,,,,,,2.28,2.95,2.02,1.49,0.94,0.73,3.06,0.38,1.35,,
August,,,,,,,,,,,3.13,4.59,1.8,0.44,1.98,1.95,0.39,,1.16,,
September,,,,,,,,,,,2.87,1.35,2.11,3.36,1.14,3.07,2.99,0.98,2.06,,
October,,,,,,,,,,2.58,1.07,0.58,5.45,1.45,1.63,3.19,1.76,1.99,2.14,,
November,,,,,,,,,,4.68,4.32,2.44,1.03,0.79,2.21,3.8,3.34,1.54,1.61,,
December,,,,,,,,,,4.25,1.54,0.73,0.47,0.48,4.62,2.43,1.81,3.52,2.48,,
Total,,,,,,,,,,,24.34,24.55,22.55,17.25,20.43,26.38,23.88,,15.86,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1937 Aug estimated,,,,,,,,,,,,,,,,,,,,,
