STAPLETON-MILTON-COTTAGE,,,,,,,,,,
Grid ref,ST613759,Long,-2.5586764,Lat,51.480723,Elevation,114,ft,,
Station no,RR8201,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.85,4.11,5.09,0.96,3.41,,,,
February,,2.02,2.28,0.94,2.8,3.75,,,,
March,,2.36,4.33,3.83,4.21,1.08,,,,
April,,1.35,0.13,2.73,1.41,0.98,,,,
May,1.7,0.75,1.96,2.41,1.7,2.77,,,,
June,5.38,2.95,4.9,0.84,2.06,0.67,,,,
July,2.46,0.08,3.95,0.67,4.6,5.56,,,,
August,5.77,1.61,6.87,1.87,2.36,2.27,,,,
September,0.28,1.45,0.59,3.13,1.46,1.41,,,,
October,5.06,2.88,4,2.33,1.93,4.21,,,,
November,4.32,3.91,2.09,3.09,3.7,1.79,,,,
December,4.41,6.31,5.85,1.82,6.81,6.29,,,,
Total,,26.52,41.06,28.75,34,34.19,,,,
