BROMLEY-LANSDOWNE-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ406701,Long,0.020339864,Lat,51.412495,Elevation,220,ft,,,,,,,,,,,,
Station no,RR6887,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.21,1.47,1.2,2.08,1.19,3.29,3.2,0.57,3.48,0.93,,,
February,,,,,,,,1.48,1.01,0.43,3.26,1.05,1.65,0.83,3.34,3.7,4.14,,,
March,,,,,,,,0.86,2.25,3.2,1.31,1.72,3.3,2.82,3.93,0.64,4.22,,,
April,,,,,,,,3.61,2.28,1.47,1.65,1.94,0,2.3,0.93,1.73,1.28,,,
May,,,,,,,,2.53,1.48,1.18,2.31,0.98,1.32,0.82,1.5,3.19,2.9,,,
June,,,,,,,,1.93,2.05,3.15,2.73,1.98,2.66,0.32,1.6,0.51,2.71,,,
July,,,,,,,,0.33,2.86,-999,2.09,0.34,1.35,1.68,1.84,3.14,0.93,,,
August,,,,,,,,1.96,3.23,-999,2.1,1.09,5.36,2.14,1.5,3.5,-999,,,
September,,,,,,,,1.03,1.71,3.05,1.14,1.22,2.54,1.45,0.79,2.28,-999,,,
October,,,,,,,,2.71,2.04,3.75,2.01,3.03,2.25,3.6,1.37,2.25,3.54,,,
November,,,,,,,,2.52,0.73,0.82,3.79,3.75,1.96,2.62,3.2,2.22,5.04,,,
December,,,,,,,,2.48,2.04,2.55,3.57,4.82,2.73,1.11,5.93,5.1,2.53,,,
Total,,,,,21.13,22.79,23.61,22.65,23.15,25.84,28.04,23.11,28.41,22.89,26.5,31.74,32.62,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1905 Total IDR,,,,,,,,,,,,,,,,,,,,
1909 Jul Aug -999 (5.04),,,,,,,,,,,,,,,,,,,,
1916 Aug Sep -999 (4.40),,,,,,,,,,,,,,,,,,,,
