ELPHIN,,,,,,,,,,
Grid ref,NC 21147 11249,Long,-5.032597,Lat,58.054164,Elevation,480,ft,,
Station no,5805/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,9.04,7.69,8.15,4.2
February,,,,,,,3.9,5.96,2.96,6.24
March,,,,,,,4.94,2.8,1.89,1.32
April,,,,,,,2.75,4.13,6.43,4.27
May,,,,,,,3.05,5.59,3.66,2.63
June,,,,,,,3.42,3.67,6.98,3.86
July,,,,,,6.72,3.53,2.44,8.23,3.72
August,,,,,,5.42,7.86,5.37,4.34,5.03
September,,,,,,4.18,9.42,3.28,3.49,3.51
October,,,,,,8.01,10.98,8.71,10.1,
November,,,,,,7.69,4.78,3.27,6.29,
December,,,,,,9.3,12.02,5.1,5.82,
Total,,,,,,,75.69,58.01,68.34,
,,,,,,,,,,
1956 G Move Jul 1956,,,,,,,,,,
,,,,,,,,,,
Station no,5805/4,,,,,,,,,
Midas,14288,,,,,,,,,
Hyd Stn,743230,,,,,,,,,
