ELPHIN (THE WILLOWS),,,,,,,,,,
Grid ref,NC212113,Long,-5.031741,Lat,58.05464,Elevation,475,ft,,
Station no,5805/4/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,1.98
November,,,,,,,,,,4.63
December,,,,,,,,,,9.67
Total,,,,,,,,,,
,,,,,,,,,,
Station no,5805/4/1,,,,,,,,,
Midas,14289,,,,,,,,,
Hyd Stn,743356,,,,,,,,,
