SHEEPSTOR,,,,,,,,
Grid ref,SX566680,Long,-4.0225,Lat,50.4947,Elevation,1160,ft
Station no,RR2653,,,,,,,
,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897
January,,,2.5,,5.88,4.95,1.5,
February,,,3,,3.3,0.1,0.92,
March,,,1.08,,,2,4.07,5.13
April,,,,,3.05,4.36,0.55,3.55
May,,,,,,0.7,,1.22
June,,,,,2.6,,1.8,1.85
July,,,1.46,,6.5,,2.83,
August,,,5.28,,,,,5.25
September,,,2.8,,2.93,,,
October,,,5.88,,6.45,3.18,,
November,,,3.95,,7.6,7.36,1.48,
December,,,2.31,,4.1,5.05,,
Total,,,, ,,,,
,,,,,,,,
,,,,,,,,
Location estimated from distance to New Location gauge which is marked on 1903 OS map,,,,,,,,
1892 Apr – June Gauge tampered with,,,,,,,,
"1894 Mar, May and Aug computed",,,,,,,,
1895 June – Sept computed,,,,,,,,
"1896 May, Aug, Sept, Oct, Dec computed",,,,,,,,
"1897 Jan, Feb, July, Sep, Oct computed",,,,,,,,
Note says annual values rejected from survey 1929,,,,,,,,
,,,,,,,,
1897 Oct Gauge moved 500yds NE along top of the Tor,,,,,,,,
