"WELLS SOMERSET & BATH CLAYBURN",,,,,,,,,,,,
Grid ref,ST571464,Long,-2.615588,Lat,51.215179,,,,,,,
Station no,2017,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.12,1.30,,0.92,1.61,1.55,,
February,,,,,4.13,1.23,,1.56,1.53,0.84,,
March,,,,,1.82,4.68,,0.88,2.38,2.95,,
April,,,,,2.00,2.88,,4.15,2.31,2.18,,
May,,,,,4.26,0.13,,2.14,1.41,1.66,,
June,,,,,0.89,3.53,,2.84,0.43,2.70,,
July,,,,,3.28,1.12,,2.66,2.66,3.36,,
August,,,,,3.34,4.85,,3.56,4.65,2.48,,
September,,,,,2.17,1.57,,0.53,2.31,4.71,,
October,,,,,2.20,2.22,,4.56,2.05,5.08,,
November,,,,,2.91,3.00,,2.69,1.08,0.78,,
December,,,,,2.53,1.13,,3.88,2.78,3.67,,
Total,,,,,32.65,27.64,,30.37,25.20,31.96,,
Calc annual,0.00,0.00,0.00,0.00,32.65,27.64,0.00,30.37,25.20,31.96,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,0.00,-0.00,0.00,,
