LONDON-WHITEHALL,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ301800,Long,-0.12691401,Lat,51.503968,Elevation,20,ft.,,,,,,,,,,,,
Station no,RR6344,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,0.48,2.11,2.77,0.99,0.64,1.7,,,,,,,,,
February,,,,,,1.57,0.93,0.08,1.78,0.79,1,,,,,,,,,
March,,,,,,1.71,1.07,0.97,0.85,1.36,1.4,,,,,,,,,
April,,,,,,0.24,1.83,1.45,2.96,2.27,1.5,,,,,,,,,
May,,,,,,1.69,3.63,0.59,2.1,2.12,2.7,,,,,,,,,
June,,,,,,1.36,1.13,2.16,0.71,2.62,5.2,,,,,,,,,
July,,,,,,5.78,1.43,1.13,2.78,2.54,2,,,,,,,,,
August,,,,,,1.38,3.17,3.28,1.91,1.85,4,,,,,,,,,
September,,,,,,1.12,2.22,2.82,0.89,3.63,2.5,,,,,,,,,
October,,,,,,5.78,1.92,4.41,1.39,2.43,1.5,,,,,,,,,
November,,,,,1.21,1.75,1.26,1.16,0.31,2.59,2,,,,,,,,,
December,,,,,1.76,1.31,1.79,0.65,1.71,1.75,2,,,,,,,,,
Total,,,,,,24.17,22.49,21.47,18.38,24.59,27.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is mid-point of Whitehall. Altitude from OS map. NGR could be +/-100m,,,,,,,,,,,,,,,,,,,,
"The 1850s record has blank entries for ""Height Above Roof"" and ""Height Above Roof"" suggesting the gauge might be on the roof of a building.",,,,,,,,,,,,,,,,,,,,
