EAST-HORSLEY-ETHANDOWN,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ092532,Long,-0.43491,Lat,51.26788,Elevation,280,ft,,,,,,,,,,,,
Station no,211/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.69,3.05,6.17,1.91,1.73,2.4,2.48,4.39,0.99,0.88,3.56,2.42,1.17,1.36,3.03,4.28,1.97,2.19,2.93,2.94
February,2.81,0.85,2.22,0.76,2.04,2.59,1.61,2.05,1.29,5.25,7.73,0.79,1.63,2.57,1.72,0.42,3.93,2.25,0.05,2.34
March,3.5,1.7,0.41,0.19,1.21,1.43,5.24,0.85,1.03,1.36,4.03,2.61,0.42,2.45,1.35,0.75,1.09,1.96,2.65,1.59
April,2.1,1.76,1.3,1.48,1.23,2.25,2.16,1.63,1.94,2.45,3.12,1.52,2.46,0.28,0.16,1.27,0.22,1.1,2.8,0.68
May,2.06,3.66,2.68,0.7,1.44,3.88,1.34,2.08,2.46,1.25,2.91,2.91,2.3,2.12,3.97,0.16,1.34,2.7,0.59,1.93
June,2.87,0.33,1.52,2.08,2.58,2.5,2.25,2.78,1.04,1.34,0.99,1.44,1.38,3.23,2.04,1.97,1.23,3.65,0.48,1.84
July,3.75,1.92,1.93,2.17,5.24,2.19,2.83,1.2,1.03,3.94,1.71,0.63,3.34,3.09,0.28,4.54,2.92,2.25,2.15,2.56
August,4.02,3,1.64,1.88,2.01,4.52,0.44,4.03,1.48,2.52,3.6,2.81,1.9,2.72,1.01,2.8,2.94,3.42,2,3.1
September,0.45,2.08,2.03,2.28,2.6,3.87,1.39,1.54,0.48,2.99,3.37,3.04,2.93,2.46,1.7,2.42,2.77,4.13,0.11,2.5
October,1.28,4.04,2.74,4.25,3.78,1.15,0.33,1.89,7.09,0.39,0.78,3.35,3.37,2.23,3.92,1.6,1.72,3.05,3.13,7.62
November,3.53,2.07,1.5,4.71,0.28,5.15,1,1.95,3.14,6.62,8.53,3.37,1.94,5.46,1.72,0.84,3.39,2.18,4.3,4.94
December,2.05,3.94,2.25,2.88,4.35,3.47,3.39,4.67,1.61,2.07,3.38,2.79,0.81,2.58,2.76,4.19,2.32,3.03,5.15,3.44
Total,31.11,28.4,26.39,25.29,28.49,35.4,24.46,29.06,23.58,31.06,43.71,27.68,23.65,30.55,23.66,25.24,25.84,31.91,26.34,35.48
,,,,,,,,,,,,,,,,,,,,
Ethandown Manor Close,,,,,,,,,,,,,,,,,,,,
1946 Site is best available in centre of square of hedges,,,,,,,,,,,,,,,,,,,,
1956 Low but accept,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Post 1960 known as East Horsley SRC_ID 6456,,,,,,,,,,,,,,,,,,,,
1941-1970,,,,,,,,,,,,,,,,,,,,
