CHIPSTEAD-SOUTH-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ274553,Long,-0.17388,Lat,51.28307,Elevation,550,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,84/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.74,3.67,2.54,3.01,1.49,3.47,2.1,2.67,2.22,2.04,1.55,5.72,5.52,3.35,5.74,2.71,2.54,3.46,6.24,2.16,2.19,2.6,2.35,,,
February,,,,,,4.07,2.69,4.58,1.72,0.53,1.03,2.2,0.52,2.73,0.42,3.54,2.22,4.66,1,1.8,2.49,2.83,0.75,1.81,0.98,1.92,2.65,1.62,,,
March,,,,,,0.75,0.36,3.45,2.45,0.07,1.64,0.35,1.47,3.57,2.61,0.53,1.7,3.63,0.45,1.75,3.44,3.65,2.09,0.36,0.12,1.19,1.6,6.04,,,
April,,,,,,3.36,4.28,2.27,2.08,1.11,1.69,4.94,2.67,0.71,2.7,3.38,2.22,3.38,0.16,3.06,2.43,2.37,1.64,1,1.87,1.38,2.53,1.83,,,
May,,,,,,2.6,2.07,1.19,2.21,2.2,2.87,3.16,3.87,3.15,0.61,2.01,0.51,2.52,2.1,1.91,1.34,2.02,3.31,2.65,1.38,2.69,3.04,1.85,,,
June,,,,,,0.21,4.81,4.41,3.12,1.57,0.51,1.89,1.56,2.06,1,5.15,3.16,2.13,0.62,1.07,0.39,2.55,0.14,1.81,1.47,2.34,2.54,2.8,,,
July,,,,,,3.79,1.71,3.42,1.91,1.82,3.35,3.27,2.54,2.17,1.87,1.05,4.18,1.39,1.79,3.01,2.92,3.21,2.52,1.61,2.68,3.51,2.75,1.68,,,
August,,,,,,2.87,1.93,5.49,3.39,2.13,3.72,4.68,1.22,0.98,2.15,3.52,3.02,1.42,1.97,3.81,0.18,4.44,3.55,1.29,2.93,1.82,5.02,0.4,,,
September,,,,,,3.32,0.83,5.57,0.78,0.09,4.41,2.34,1.99,2.83,1.93,4.38,2.55,2.4,2.74,2.3,1.68,0.5,2.36,1.63,2.78,2.22,3.54,1.45,,,
October,,,,,,3.5,2.56,2.04,6.11,3.8,1.74,0.82,6.14,2.58,2.4,4.17,2.58,3.43,3.16,7.01,3.7,1.31,4.12,3.69,4.67,3.92,1.45,0.52,,,
November,,,,,,3.28,6.38,3.2,2.76,7.39,5.32,3.86,1.24,1.26,3.05,5.84,4.84,2.18,4.07,5.14,8.48,3.24,2.11,2.05,5.01,0.35,4.88,1.12,,,
December,,,,,,2.98,0.48,4.79,3.37,6.92,2.43,0.83,0.54,0.66,8.07,4.05,3.01,4.41,3.86,1.88,1.88,2.38,3.39,2.29,2.75,3.77,3.14,,,,
Total,,,,,,33.47,31.77,42.95,32.91,29.12,32.18,30.44,26.43,24.92,28.85,39.17,35.71,37.07,25.27,38.48,31.64,31.04,29.44,26.43,28.8,27.3,35.74,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Nov 26  Moved to Worthing Stn No 475/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
