KETTLESHULME-GLEBE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ989800,Long,-2.0179731,Lat,53.316929,Elevation,850,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,6.77,3.12,2.94,2.51,4.9,4.83,4.45,4.04,4.25,3.48,3.71,4.37,4.01,7.07,2.21,4.7,5.28,4.52,2.81,3.01,3.22,,,,,
February,,,,,,4.93,5.09,0.83,4.86,1.51,4.14,0.73,4.98,6.63,1.14,6.93,3.05,2.08,3.75,0.94,0.45,3.9,0.36,,0.29,4.85,,,,,
March,,,,,,1.89,2.62,2.15,2,5.29,3.09,2.95,2.41,1.98,1.13,2.12,1.81,4.44,2.48,0.86,2.96,0.48,2.87,2.98,3.58,1.58,,,,,
April,,,,,,1.66,3.19,2.36,1.59,2.83,6.49,1.79,3.26,3.56,2.09,2.81,1.72,3.26,1.45,1.26,2.15,4.78,4.36,1.92,2.56,2.73,,,,,
May,,,,,,1.6,2.94,1.93,3.1,1.91,5.03,2.17,1.03,4.18,5.43,4.44,3.89,1.27,1.05,2.79,2.2,2.4,5.22,2.74,2.89,0.78,,,,,
June,,,,,,2.42,3.15,2.22,2.25,3.1,3.59,0.57,3.07,2.16,3.13,0.31,3.52,7.18,5.29,1.82,2,5.38,0.9,4.51,2.06,4.04,,,,,
July,,,,,,5.91,2.32,2.08,4.91,2.88,6.01,1.32,5.64,5.19,4.6,2.03,2.88,3.39,2.21,3.97,7.52,5.05,4.21,3.98,2.55,1.74,,,,,
August,,,,,,3.73,2.94,6.03,4.3,3.53,2.74,4.77,5.02,4.92,8.63,5.83,4.13,6.01,5.67,4.94,5.03,6.44,1.96,1.55,3.1,2.12,,,,,
September,,,,,,0.85,2.83,2.11,8.76,3,3.12,1.31,4.22,5.26,4.56,5.37,3.93,7.18,0.97,2.21,3.65,4.5,3.53,0.74,2.18,6.47,,,,,
October,,,,,,1.72,5.54,6.19,2.44,2.9,2.14,2.71,0.77,4.8,4.99,5.7,3.77,2.2,4.63,5.21,4.51,1.96,8.04,5.6,4,6.81,,,,,
November,,,,,,2.48,3.62,4.27,2.42,3.08,1.67,2.34,2.43,4.72,2.11,2.63,5.85,3.52,5.19,8.09,3.11,5.65,3.63,1.98,1.68,5.17,,,,,
December,,,,,,6.82,3.57,1.76,7.49,7.99,2.94,6.05,5.14,6.02,4.42,2.92,1.83,1.25,2.38,6.24,4.2,1.78,1.63,0.4,6.16,3.93,,,,,
Total,,,,,,40.78,40.93,34.87,46.63,42.92,45.79,31.16,42.01,53.67,45.71,44.8,40.75,45.79,42.14,40.54,42.48,47.6,41.23,,34.06,43.44,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Glebe House, originally built as a vicarage. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
