CHESTER-LE-STREET BIDDICK HALL,,,,,,,,,,,
Grid ref,NZ313527,Long,-1.513835,Lat,54.868102,Elevation,150,ft,,,
Station no,RR2310,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.6,4.69,2.88,1.11,1.92,1.92,2.38,1.6,2.6,2.03,
February,1.13,0.22,2.49,3.29,1.23,2.63,2.21,0.83,1.3,0.95,
March,2.68,0.94,1.6,1.69,0.95,1.95,0.96,1.65,2.48,0.22,
April,3.21,1.55,1.79,2.06,2.12,3.16,0.89,1.96,1.02,1.27,
May,3.51,2.4,0.93,3.07,7.06,2.75,1.79,1.79,1.4,1.15,
June,0.97,1.06,1.68,1.03,2.2,0.07,2.81,4.11,4.91,1.94,
July,3.4,1.76,5.11,1.84,4.5,2.43,3.7,3.29,1.54,2.6,
August,1.25,5.24,2.81,3.54,3.47,3.22,2.29,5.51,3.31,3.04,
September,1.41,0.84,4.82,1.67,2.33,3.07,2.3,4.12,1.04,1.32,
October,2.03,1.66,2,2.04,3.74,2.13,3.07,1.75,2.97,2.44,
November,0.96,2.87,0.73,3.85,1.23,2.75,3.87,2.83,2.8,2.6,
December,3.6,1.6,3.7,2.58,2.08,4.15,0.85,3.76,1.64,3.1,
Total,26.75,24.83,30.54,27.77,32.83,30.23,27.12,33.2,27.01,22.66,
,,,,,,,,,,,
TYRain_1920-1930_24_pt1-page-120.csv,,,,,,,,,,,
