"REIGATE, RAGLAN ROAD",,,,,,,,,,,,
Grid ref,TQ260514,Long,-0.196087,Lat,51.247863,,,,,,,
Station no,122/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.30,1.77,1.08,,
February,,,,,,,,1.76,1.13,0.60,,
March,,,,,,,,1.08,3.18,3.60,,
April,,,,,,,,3.39,1.60,1.92,,
May,,,,,,,,2.30,2.52,1.86,,
June,,,,,,,,2.26,1.82,2.75,,
July,,,,,,,,1.77,3.38,4.12,,
August,,,,,,,,2.72,4.18,2.53,,
September,,,,,,,,0.52,1.43,2.94,,
October,,,,,,,,3.96,2.31,4.88,,
November,,,,,,,,2.82,0.98,0.93,,
December,,,,,,,,3.38,2.79,4.02,,
Total,,,,,,,,27.26,27.09,31.23,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.26,27.09,31.23,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
