"KETTERING, WARKTON",,,,,,,,,,,,
Grid ref,SP886805,Long,-0.698752,Lat,52.415332,,,,,,,
Station no,RR4404,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.86,0.70,1.17,0.96,,
February,,,,,,,2.19,1.59,1.00,0.41,,
March,,,,,,,1.58,0.99,2.77,2.50,,
April,,,,,,1.51,0.43,2.12,2.51,1.13,,
May,,,,,,0.89,1.37,4.28,1.19,1.49,,
June,,,,,,2.18,4.77,1.93,1.18,3.19,,
July,,,,,,0.92,0.56,2.47,1.71,2.57,,
August,,,,,,2.54,0.81,1.75,2.32,1.92,,
September,,,,,,1.63,1.11,0.67,1.27,2.04,,
October,,,,,,0.84,4.00,4.14,1.41,3.20,,
November,,,,,,2.02,3.59,2.30,0.84,0.49,,
December,,,,,,0.81,3.28,3.35,1.41,3.78,,
Total,,,,,,,27.55,26.29,18.78,23.68,,
Calc annual,0.00,0.00,0.00,0.00,0.00,13.34,27.55,26.29,18.78,23.68,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
