"DALMENY HOUSE",,,,,,,,,,,,
Grid ref,NT168780,Long,-3.335183,Lat,55.987728,,,,,,,
Station no,5152/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.15,1.91,0.38,2.78,1.87,1.46,3.83,0.83,0.41,2.58,,
February,1.82,0.49,0.73,1.31,1.45,1.72,2.79,1.93,0.35,1.90,,
March,2.68,1.08,0.26,1.49,1.44,0.91,1.81,2.16,0.58,1.39,,
April,2.27,1.34,1.99,1.22,0.48,0.52,0.75,1.29,1.55,0.90,,
May,2.88,1.46,1.88,4.37,2.71,0.92,1.76,2.36,0.71,1.58,,
June,2.08,2.12,1.61,2.39,0.92,2.85,1.49,3.11,2.23,1.16,,
July,3.83,2.45,4.41,2.36,1.20,5.18,3.71,6.18,3.36,3.15,,
August,5.48,4.77,2.26,4.06,1.16,5.01,3.10,4.24,0.33,3.80,,
September,1.21,2.68,2.83,3.16,1.47,3.41,1.61,3.18,0.68,1.19,,
October,0.60,1.54,1.04,7.22,1.47,1.89,1.85,1.15,1.45,3.08,,
November,4.54,2.30,3.49,2.65,0.88,0.64,1.23,1.12,4.84,2.44,,
December,2.24,2.33,3.39,3.30,3.38,2.63,2.78,3.70,3.20,2.24,,
Total,32.78,24.47,24.27,36.31,18.43,27.14,26.71,31.25,19.69,25.41,,
Calc annual,32.78,24.47,24.27,36.31,18.43,27.14,26.71,31.25,19.69,25.41,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,,
