"DALMENY HOUSE",,,,,,,,,,,,
Grid ref,NT168780,Long,-3.335183,Lat,55.987728,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.27,3.09,2.76,,
February,,,,,,,,1.46,0.78,0.98,,
March,,,,,,,,2.26,3.55,3.09,,
April,,,,,,,,0.91,1.33,2.87,,
May,,,,,,,,2.68,2.32,2.30,,
June,,,,,,,,3.33,1.22,1.61,,
July,,,,,,,,3.02,3.25,2.99,,
August,,,,,,,,3.81,1.19,1.69,,
September,,,,,,,,1.25,4.45,2.07,,
October,,,,,,,,7.48,1.29,3.42,,
November,,,,,,,,1.33,1.88,0.97,,
December,,,,,,,,3.29,1.07,3.35,,
Total,,,,,,,,32.09,25.42,28.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.09,25.42,28.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
