LADY-CLOUGH-MOOR-NO-41B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK112926,Long,-1.832902,Lat,53.430071,Elevation,1720,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.9,5.96,5.16,7.66,7.79,8.4,,4.8,6.3,8.07,10.15,,7.77,5.03,15.06,4.94,4.84,9.07,6.32,4.75,7.06,4.5,8.5,4.08,7.34,5.74,9.12
February,,,,0.5,9.82,4.83,11.1,3.18,5.17,,8.17,3.15,4.35,3.63,6.63,-999,3.5,4.85,3.37,8.05,9.38,5.72,3.23,4.74,2.47,3.06,4.87,9.85,0.98,4.28
March,,,,7.58,2.98,5.5,5.55,2.95,4.91,5.03,6.75,4.16,2.57,1.27,2.01,-999,8.62,2.17,3.43,3.22,8.92,4.26,4.48,4.97,4.85,2.57,4.57,4.05,3.14,2.43
April,,,,3.26,4.53,2.79,5.37,0.81,3.73,4.32,3.49,3.03,3.11,4.07,2.81,2.24,4.07,3.67,5.96,5.47,3.41,4.28,4.12,1.38,2.93,3.07,1.46,2.17,4.78,3.64
May,,,,3.72,0.88,2.07,3.09,3.96,3.32,1.18,3.42,4.45,3.63,5.09,3.71,2.37,4.36,2.38,3.46,2.45,3.37,3.08,2.51,4.28,5.96,1.72,1.9,4.98,2.94,2.73
June,,,,2.46,4.37,3.95,2.61,5.73,4.15,1.32,3.56,1.26,4.63,4.87,4.61,6.35,2.94,6.41,1.58,3.22,2.06,4.26,4.91,4.09,4.71,5.62,1.89,6.87,2.77,2.03
July,,,,5.08,2.73,7.36,5.63,6.98,9.43,,4.21,6.41,2.96,5.94,2.31,7.61,2.93,3.76,3.35,4.58,4.53,3.89,8.07,8.63,1.12,9.69,6.92,7.14,4.93,10.22
August,,,,4.7,2.48,3.48,1.43,3.26,2.69,2.88,8.32,5.07,7.67,4.16,3.88,5.78,0.31,6.29,3.38,5.92,7.68,3.79,5.82,8.86,0.63,12.9,8.93,4.62,0.79,6.94
September,,,,4.4,7.05,7.72,1.97,3.63,2.43,4.82,0.92,4.15,5.56,7.97,3.27,7.93,2.53,3.31,2.35,8.93,3.64,7.18,3.38,6.14,3.46,5.17,11.47,6.56,0.26,5.47
October,,,,8.64,12.47,7.03,3.55,10.17,4.74,5.86,6.83,8.59,3.56,7.21,8.16,2.17,1.72,4.12,5.22,3.06,1.47,7.78,2.98,8.78,4.19,3.85,6.89,5.78,4.46,8.53
November,,,,3.81,8.87,8.61,3.91,6.57,9.53,9.6,5.17,1.83,5.85,9.84,1.06,10.34,6.93,3.18,9.17,9.37,12.67,4.53,4.24,9.56,3.46,2.47,3.59,2.42,6.93,8.23
December,,,,7.87,6.76,6.57,3.93,7.41,5.06,7.61,4.47,5.2,3.32,5.09,4.52,6.38,6.75,4.11,10.09,3.16,8.14,5.56,3.32,11.04,6.78,7.16,7.34,6.01,9.34,5.74
Total,,,,56.92,68.9,65.07,55.8,62.44,63.56,,60.11,53.6,55.28,69.29,,71.32,49.69,59.31,56.3,62.27,74.34,60.65,51.81,79.53,45.06,65.78,63.91,67.79,47.06,69.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on Lady Clough Moor. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 corrected for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
