COIRE RIADHAILT,,,,,,,,,,
Grid ref,NN575400,Long,-4.318441,Lat,56.530354,Elevation,2000,ft,,
Station no,5557/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.92,6.02,3.8,14.98,7.7,3.05,7.72
February,,,,6.99,4.27,3.61,6.96,,4,6
March,,,,14.65,1.03,5.98,8.3,,7.2,3
April,,,,3.02,5.04,2.98,3.4,,5.8,7.4
May,,,,5.81,5.36,5.86,3.2,,2.3,5.27
June,,,,4.61,3.69,6.48,3.39,,4.65,4.77
July,,,,4.16,1.09,7.32,6.8,,6.68,5.28
August,,,,6.4,2.09,6.57,7.5,,4.9,4.75
September,,,,9.58,7.33,9.08,4.67,8.4,2.1,5.03
October,,,,13.75,6.92,6.02,8.49,7.55,7.25,7.63
November,,,,13.81,4.77,3.77,3.25,1.35,8.68,
December,,,,13.7,11.64,12.9,8.9,,12,
Total,,,,102.4,59.25,74.37,79.84,,68.61,
,,,,,,,,,,
1958 Confusion between New site,,,,,,,,,,
1959 Confusion between New site,,,,,,,,,,
,,,,,,,,,,
Station no,5557/2,,,,,,,,,
Midas,15136,,,,,,,,,
Hyd Stn,862798,,,,,,,,,
