COIRE RAIDHAILT (NEW SITE),,,,,,,,,,
Grid ref,NN575401,Long,-4.318496,Lat,56.531252,Elevation,2000,ft,,
Station no,'5557/1/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.8,
February,,,,,,,,3.9,3.18,
March,,,,,,,,2.3,7.51,
April,,,,,,,,3.8,5.6,
May,,,,,,,,5.99,2.4,
June,,,,,,,,4.7,4.9,
July,,,,,,,,6,6.8,
August,,,,,,,,8.96,,
September,,,,,,,,8.8,,
October,,,,,,,,7.1,,
November,,,,,,,,1.7,,10.4
December,,,,,,,,7.4,,11.3
Total,,,,,,,,,,
,,,,,,,,,,
1958 Confusion between Old site,,,,,,,,,,
1959 Confusion between Old site,,,,,,,,,,
Station no,5557/1/9,,,,,,,,,
Midas,15137,,,,,,,,,
Hyd Stn,862801,,,,,,,,,
