COIRE RIADHAILT,,,,,,,,,,,,
Grid ref,NN575400,Long,-4.318441,Lat,56.530354,,,,,,,
Station no,5557/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,5.92,6.02,3.80,14.98,7.70,3.05,7.72,,
February,,,,6.99,4.27,3.61,6.96,,4.00,6.00,,
March,,,,14.65,1.03,5.98,8.30,,7.20,3.00,,
April,,,,3.02,5.04,2.98,3.40,,5.80,7.40,,
May,,,,5.81,5.36,5.86,3.20,,2.30,5.27,,
June,,,,4.61,3.69,6.48,3.39,,4.65,4.77,,
July,,,,4.16,1.09,7.32,6.80,,6.68,5.28,,
August,,,,6.40,2.09,6.57,7.50,,4.90,4.75,,
September,,,,9.58,7.33,9.08,4.67,8.40,2.10,5.03,,
October,,,,13.75,6.92,6.02,8.49,7.55,7.25,7.63,,
November,,,,13.81,4.77,3.77,3.25,1.35,8.68,-999.00,,
December,,,,13.70,11.64,12.90,8.90,8.00,12.00,-999.00,,
Total,,,,102.40,59.25,74.37,79.84,,68.61,-999.00,,
Calc annual,0.00,0.00,0.00,102.40,59.25,74.37,79.84,33.00,68.61,56.85,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,0.00,-1055.85,,
