MORETONHAMPSTEAD-BLACKINGSTONE-(NEW-LOCATION),,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX790851,Long,-3.712,Lat,50.6539,Elevation,1158,ft,,,,,,,,,,,,,,,,,,,
Station no,1751,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926
January,,,,,,,,2.31,1.86,2.02,5.15,1.18,6.44,8.85,1.43,4.01,1.99,1.45,5.51,7.47,8.16,2.87,5.65,2.16,6.2,7.11,6.98
February,,,,,,,,1.92,2.26,0.58,6.62,2.11,5.24,2.03,6.79,8.81,8.47,1.01,2.63,6.59,0.86,0.32,4.05,11.35,2.07,4.8,3.04
March,,,,,,,,1.16,4.64,8.3,1.36,3.22,7.12,6.02,6.93,0.7,5.37,4.85,1.73,5.78,4.1,2.39,4.07,1.64,2.19,0.48,0.43
April,,,,,,,,6.21,2.82,2.81,3.94,2.11,0.16,6.14,1.89,1.15,1.18,1.78,3.41,2.32,5.46,0.34,4.63,4.57,4.03,4.2,1.26
May,,,,,,,,4.8,2.44,1.04,2.89,1.68,1.72,4.96,2.19,3.07,2.16,2.78,1.4,1.1,1.46,1.78,0.46,2.08,4.2,4.33,
June,,,,,,,,2.85,1.09,4.17,2.87,3.68,4.8,0.86,1.98,1.54,1.74,4.73,1.42,0.77,1.74,0.14,0.43,0.23,1.98,0.01,
July,,,,,,,,1.37,1.76,2.33,3.2,1.02,2.58,0.63,5.48,3.66,1.38,2.82,3.74,1.47,4.35,1.14,3.44,2.85,3.8,3.65,
August,,,,,,,,1.34,4.1,1.87,5.58,2.38,8.16,1.04,2.39,2.71,6.03,7.38,2.74,3.73,0.82,1.4,3.98,2.51,2.58,1.46,
September,,,,,,,,0.9,2.98,1.9,0.56,2.21,1.61,3.02,2.6,1.28,3.16,1.92,7.67,2.12,1.9,0.58,4.07,3.06,5.36,3.65,
October,,,,,,,,10.19,2.95,8.54,8.63,5.29,5.78,5.13,4.48,6.52,7.7,6.12,2.43,1.73,3.97,1.49,1.06,6.23,6.65,3.96,
November,,,,,,,,4.71,1.99,1.46,6.82,6.36,2.84,5.36,5.56,3.3,8.13,2.82,5.04,3.61,2.9,5.83,2.52,2.99,5.62,4.18,
December,,,,,,,,6.92,4.74,7.8,11.64,15.02,5.8,3.46,12.59,12.09,4.32,1.47,6.07,7.26,5.07,2.27,6.79,3.52,5.15,6,
Total,,,,,,,,44.68,33.63,42.82,59.26,46.26,52.25,47.5,54.31,48.84,51.63,39.13,43.79,43.95,40.79,20.55,41.15,43.19,49.83,43.83,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge 8in diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 Gauge began to give trouble in May and was finally replaced at the end of Oct – as readings cannot be relied upon they have been removed,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 New gauge was 5in diameter,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location taken off sheets. Altitude about right,,,,,,,,,,,,,,,,,,,,,,,,,,,
