THETFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL874832,Long,0.7547,Lat,52.4152,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,1.58,0.91,1.13,1,2.07,1.97,1.88,0.87,1.01,1.59,1.25,1.66,2.53,1.29,1.38,1.22,1.84,1.88,0.38,0.29,1.16,0.4,1.28,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,0.54,0.66,0.76,2.06,2.49,0.15,0.67,0.64,2.36,1.05,0.33,0.57,1.91,1.71,0.85,1.06,0.78,0.21,0.46,0.58,0.72,1.43,0.34,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,1.21,0.52,1.09,1.6,0.66,1.65,1.46,0.8,0.84,2.63,0.79,0.93,2.83,0.36,0.73,0.71,1.07,0.25,0.36,0.67,0.46,1.47,1.11,2.12,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,0.79,0.22,1.03,0.81,1.81,0.22,1.05,2.92,1.17,1.86,1.87,1.43,1.96,0.46,2.4,0.8,0.14,0.83,1.04,0.99,1.72,0.31,0.58,0.49,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.13,2.32,1.55,1.23,2.81,0.39,2.2,0.38,1.75,0.18,3.34,2.25,0.85,1.06,1.11,2.21,0.57,2.1,0.37,1.35,1.49,2.95,0.81,1.73,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,2.62,1.12,1.65,1.7,1.07,1.7,0.82,0.6,2.84,2.89,1.41,0.15,1.17,2.21,1.71,0.64,1,0.5,1.08,0.3,1.47,2.99,2.31,1.95,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.43,1.92,3.29,3.08,1.96,1.28,2.78,1.28,0.87,2.93,2.1,3.03,3.56,1.31,3.69,1.64,3.04,1.25,0.58,2.43,2.02,1.17,2.5,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.17,0.82,2.51,0.64,7.77,1.95,2.88,2.96,1.73,2.66,2.22,2.34,1.81,4.15,1.64,2.4,1.04,0.83,1.59,1.22,1.15,2.92,0.35,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.4,1.69,2.28,2.9,0.49,1.36,1.26,1.22,1.48,3.52,1.79,1,0.68,2.72,1.05,0.44,0.17,2.21,2.25,0.64,1.94,2.95,0.98,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,1.07,1.56,3,1.43,3.52,3.94,0.84,2.35,1.85,3.43,2.61,1.44,2.08,2.22,2.14,1.58,3.11,1.26,2.46,1.16,2.32,1.22,0.54,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,2.26,2.18,2.12,2.53,2.06,2.48,1.58,1.06,2.02,1.09,1.49,1.66,1.45,4.86,1.31,1.64,0.87,2.06,1.7,0.57,0.66,1.55,2.75,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,1.55,0.26,1.57,0.75,0.1,0.59,3.12,1.44,2.33,1.5,2.81,1.39,0.6,1.32,0.56,1.84,0.64,1.14,0.16,0.93,1.94,0.91,1.14,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,14.73,21.66,18.56,25.31,20.12,20.11,17.56,18.39,26.06,23.07,17.2,19.22,25.11,19.34,16.13,13.93,15.05,13.68,11.1,16.04,20.32,14.9,16.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
