MARYPORT RISEHOW,,,,,,,,,,
Grid ref,NY027351,Long,-3.5114045,Lat,54.701486,Elevation,50,ft,,
Station no,RR8715,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,1.9,6.69,3.26,1.4
February,,,,,,,3.23,2.83,2.3,2.29
March,,,,,,,2.51,1.35,1.12,2.03
April,,,,,,,2.6,2.46,1.29,0.78
May,,,,,,,0.1,2.82,1.9,
June,,,,,,,3.63,2.54,2.35,
July,,,,,,,2.59,3.67,0.66,
August,,,,,,,3.55,5.05,4.08,
September,,,,,,,3.96,3.06,3.96,
October,,,,,,,3.67,4.29,3.45,
November,,,,,,,2.27,7.98,1.51,
December,,,,,,,4.77,4.32,1.95,
Total,,,,,,,34.78,47.06,27.83,
