GRANGE OVER SANDS NUTWOOD - NEW GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD409783,Long,-2.9059,Lat,54.1978,Elevation,125,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,4.15,4.24,5.25,4.8,2.6,5.41,5.6,5.1,8.11,3.86,4.36,4.42,3.28,4.92,4.22,10.68,2.55,7.61,5.18,5.12,3.47,5.47,2.17,,,,,
February,,,,2.41,4.08,4.69,4.12,1.57,4.81,2.53,4.06,0.2,5.2,5,0.74,4.73,7.09,3.71,4.99,1.2,0.52,4.37,0,4.36,0.29,6.31,,,,,
March,,,,3.82,4.67,2.3,1.47,2.13,2.09,4.77,5.3,4.17,2.05,1.18,3.07,1.43,1.98,3.07,3.46,1.08,3.04,0.78,3.57,3.2,2.67,1.27,,,,,
April,,,,4.62,0.78,2.36,2.48,1.53,1.61,1.76,5.89,1.34,1.79,3.14,2.38,3,1.88,2.54,1.85,2.14,1.93,2.23,3.19,2.26,4.11,3.67,,,,,
May,,,,2.51,2.31,1.35,4.31,3.39,2.5,2.17,4.98,2.52,3.12,3.34,5.75,5.4,2.74,2.21,1.06,2.24,1.68,2.65,6.86,2.17,4.51,0.6,,,,,
June,,,,2.62,1.08,0.78,3.41,2.85,2.49,1.93,2.66,0.26,2.72,0.82,2.71,0.47,3.23,3.33,6.33,1.89,2.24,6.83,1.95,2.77,3.2,5.17,,,,,
July,,,,1.04,5.12,4.7,2.51,1.58,4.73,1.01,6.61,1.83,5.11,5.19,4.24,2.29,4.99,3.75,6.8,3.95,3.92,6.24,4.11,3.56,2.62,1.81,,,,,
August,,,,2.24,3.42,3.2,2.61,8.95,5.19,4.79,2.15,8.38,5.5,7.57,4.46,6,4.26,8,6.46,6.18,6.09,3.56,1.98,3.33,5.22,4.16,,,,,
September,,,,2.5,3.76,0.78,3.33,3.98,11.65,3.4,3.5,2.29,4.79,4.98,5.87,4.03,5.2,7.55,3.47,2.34,2.43,1.83,6.21,0.73,4.97,8.89,,,,,
October,,,,3.39,2.18,1.34,7.27,7.45,5.05,2.21,1.77,3.12,0.95,7.6,4.44,5.28,3.69,4.35,6.09,6.5,8.91,4.47,7.01,4.88,6.6,8.25,,,,,
November,,,,4.23,5.98,2.1,3.99,6.01,2.84,2.96,2.74,2.58,2.74,6.87,3.17,2.47,5.45,5.86,8.79,-999,5.62,8.46,3.79,2.6,1.46,4.23,,,,,
December,,,9.01,3.37,5.88,7.09,4.28,2.72,8.32,7.06,3.8,6.07,5.57,5.37,6.24,3.61,1.46,1.14,3.86,-999,4.04,6.52,4.26,1.06,6.88,4.7,,,,,
Total,,,,36.9,43.5,35.94,44.58,44.76,56.69,40.19,48.56,40.87,43.4,55.42,47.49,41.99,46.89,49.73,63.84,48.41,48.03,53.12,48.05,34.39,48,51.23,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Oct-Nov bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Total - arithmetic on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
