BOURNEMOUTH-RODNEY-HOUSE-(DAILY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ075912,Long,-1.89454,Lat,50.72101,Elevation,145,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.24,5.28,5.52,0.52,3.22,1.45,1.15,3.6,5.97,4.11,3.95,4.76,1.37,3.21,5.07,4.82,2.15,5.41,1.48,4.23,2.21,,,,,,,,,
February,,1.5,2.92,1.75,4.66,5.8,5.57,1.28,1.31,3.6,0.48,0.26,2.56,6.32,0.34,4.33,1.82,3.06,2.51,1.32,0.74,1.98,,,,,,,,,
March,,2.28,4.34,2.79,5.44,0.76,3.24,2.87,1.19,4.45,2.39,1.3,2.95,1.32,1.44,0.97,0.52,2.91,2.84,0.11,1.01,1.3,,,,,,,,,
April,,1.49,0.06,3.88,1.32,1.13,0.34,1.63,1.73,1.59,2.76,1.04,3.87,3.79,2.72,2.4,3.58,1.91,1.6,0.99,2.19,2.46,,,,,,,,,
May,,0.56,1.54,2.23,1.03,2.76,1.78,2.39,1.28,0.36,1.18,1.25,0.58,1.86,4.05,3.32,1.99,0.73,0.89,1.93,1.86,3.14,,,,,,,,,
June,,1.81,4.79,0.96,1.15,1.06,1.81,1.55,0.95,0.98,2.71,0.44,1.17,0.34,1.7,0,2.59,2.34,2.16,1.55,0.39,2.45,,,,,,,,,
July,,0.22,2.06,1.34,3.18,3.53,0.64,2.75,3.56,2.05,5,0.25,3.71,0.7,2.94,3.34,1.31,2.16,1.34,1.42,1.36,3.36,,,,,,,,,
August,,1.41,,1.65,2.11,0.76,4.02,4.94,2.26,3.39,1.15,2.1,3.62,2.32,2.32,3.25,0.81,3.16,2.25,1.2,3.25,3.06,,,,,,,,,
September,,,,2.84,1.6,2.11,2.5,1.43,5.89,1.48,1.4,0.81,1.61,2.36,3.62,3.48,0.59,5.98,1.85,0.29,2.95,1.21,,,,,,,,,
October,,4.99,4.24,3.83,2.96,5.82,4.22,4.57,1.65,1.07,3.01,1.25,1.71,5.54,4.73,3.66,4.18,2.16,6.57,4.07,2.22,,,,,,,,,,
November,,5.11,2.34,3.3,4.89,3.48,4.19,0.78,2.65,2.95,1.52,2.12,2.25,1.75,3.62,2.73,8.84,3.14,2.74,8.49,5.69,,,,,,,,,,
December,,8.63,4.65,2.04,9.63,9.07,4.4,1.12,2.68,5.56,3.43,1.41,4.71,3.37,5.93,3.98,0.54,3.76,3.09,6.6,3.98,,,,,,,,,,
Total,,,,32.13,38.49,39.5,34.16,26.46,28.75,33.45,29.14,16.18,33.5,31.04,36.62,36.53,31.59,33.46,33.25,29.45,29.87,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden meets that of Clarendon Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 Sept 4-30 Gauge temporarily moved 1 mile W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 July 28-Sept 9 Gauge moved temporarily 4 miles E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 Apr 22 Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Oct 8 Gauge moved 1.5 miles W to Parkstone Rosemead Stn No 1583/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
