BOURNEMOUTH RODNEY HOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,613,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.11,3.95,4.76,1.37,3.21,5.07,4.82,2.15,5.41,1.48,4.23,
February,0.48,0.26,2.56,6.32,0.34,4.33,1.82,3.06,2.51,1.32,0.74,
March,2.39,1.30,2.95,1.32,1.44,0.97,0.52,2.91,2.84,0.11,1.01,
April,2.76,1.04,3.87,3.79,2.72,2.40,3.58,1.91,1.60,0.99,2.19,
May,1.18,1.25,0.58,1.86,4.05,3.32,1.99,0.73,0.89,1.93,1.86,
June,2.71,0.44,1.17,0.34,1.70,0.00,2.59,2.34,2.16,1.55,0.39,
July,5.00,0.25,3.71,0.70,2.94,3.34,1.31,2.16,1.34,1.42,1.36,
August,1.15,2.10,3.62,2.32,2.32,3.25,0.81,3.16,2.25,1.20,3.25,
September,1.40,0.81,1.61,2.36,3.62,3.48,0.59,5.98,1.85,0.29,2.95,
October,3.01,1.25,1.71,5.54,4.73,3.66,4.18,2.16,6.57,4.07,2.22,
November,1.52,2.12,2.25,1.75,3.62,2.73,8.84,3.14,2.74,8.49,5.69,
December,3.43,1.41,4.71,3.37,5.93,3.98,0.54,3.76,3.09,6.60,3.98,
Total,29.14,16.18,33.50,31.04,36.62,36.53,31.59,33.46,33.25,29.45,29.87,
Calc annual,29.14,16.18,33.50,31.04,36.62,36.53,31.59,33.46,33.25,29.45,29.87,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,
