BOURNEMOUTH-RODNEY-HOUSE-(MONTHLY),,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ075912,Long,-1.89454,Lat,50.72101,Elevation,145,ft,,,,,,,,,,,,,
Station no,613,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,1.15,3.7,6.06,4.26,4.15,4.84,1.4,3.29,,5.11,,,,
February,,,,,,,,1.32,1.37,-999,0.48,0.26,2.62,6.45,0.37,,1.88,,,,
March,,,,,,0.76,,2.95,1.25,-999,2.67,1.36,2.99,1.35,1.47,,0.55,,,,
April,,,,,,1.15,,1.86,1.84,1.67,2.95,1.05,3.89,3.84,2.82,,3.73,,,,
May,,,,,,2.74,,2.48,1.31,0.34,1.23,1.29,0.56,2,4.14,,2.09,,,,
June,,,,,,1.09,,1.51,1.03,-999,2.79,0.41,1.23,0.32,1.73,,2.66,,,,
July,,,,,,3.68,,2.83,3.73,-999,5.24,0.28,3.88,0.7,3.03,,1.33,,,,
August,,,,,,0.78,,,2.26,3.55,1.16,2.15,3.72,2.41,2.38,,0.92,,,,
September,,,,,,2.13,,1.51,6.14,,1.47,0.81,1.68,2.3,3.72,,0.6,,,,
October,,,,,,5.95,,4.81,1.79,-999,3.13,1.27,1.78,5.81,4.85,,4.29,,,,
November,,,,,,3.27,,0.8,2.78,-999,1.57,2.19,2.25,1.85,3.71,,8.84,,,,
December,,,,,,8.92,,1.13,2.58,5.72,3.53,1.43,4.84,3.46,6.08,,0.58,,,,
Total,,,,,,,,,29.78,,30.48,16.65,34.28,31.89,37.59,,32.58,,,,
,,,,,,,,,,,,,,,,,,,,,
Monthly Gauge,,,,,,,,,,,,,,,,,,,,,
1917 Aug Marked as estimated,,,,,,,,,,,,,,,,,,,,,
1919 Feb Mar bracketed together Combined total 7.52,,,,,,,,,,,,,,,,,,,,,
1919 June July bracketed together Combined total 3.13,,,,,,,,,,,,,,,,,,,,,
1919 Sept Estimated,,,,,,,,,,,,,,,,,,,,,
1919 Oct Nov bracketed together Combined total 3.89,,,,,,,,,,,,,,,,,,,,,
1923 Not printed Check gauge,,,,,,,,,,,,,,,,,,,,,
1924 Not printed Check gauge,,,,,,,,,,,,,,,,,,,,,
1925 Return containing observations was lost No duplicate available,,,,,,,,,,,,,,,,,,,,,
1926 Inspection,,,,,,,,,,,,,,,,,,,,,
1926 Not printed,,,,,,,,,,,,,,,,,,,,,
