PERSHORE THE POPLARS,,,,,,,,,,,,,,,,,,,,
Grid ref,SO981447,Long,-2.029152,Lat,52.100633,Elevation,104,ft,,,,,,,,,,,,
Station no,RR6163,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.02,0.65,0.82,2.21,1.03,4.26,3.16,0.54,,,,,
February,,,,,,,,0.66,0.87,0.38,2.7,1.52,1.62,0.76,1.66,,,,,
March,,,,,,,,0.65,2.27,2.4,0.8,1.92,3.3,3.65,2.99,,,,,
April,,,,,,,,2.28,2.58,2.08,2.7,0.88,0.07,3.04,1.04,,,,,
May,,,,,,,,2.47,1.62,1.07,1.3,0.62,2.45,2.53,1.36,,,,,
June,,,,,,,,1.75,1.98,3.36,3.79,1.22,5.16,0.58,3.7,,,,,
July,,,,,,,,2.65,1.59,2.18,2.11,0.03,5.49,0.83,3.19,,,,,
August,,,,,,,,2.84,1.84,2.42,4.25,1.29,8.27,1.11,0.98,,,,,
September,,,,,,,,0.44,2.19,3,0.64,1.15,0.4,1.94,0.85,,,,,
October,,,,,,,,5.6,2.12,2.51,2.26,1.94,3.06,2.55,1.56,,,,,
November,,,,,,,,1.72,1.04,0.7,3.69,2.54,1.29,2.43,2.62,,,,,
December,,,,,,,,3.09,1.64,2.46,3.51,4.24,3,0.83,5.12,,,,,
Total,,,,,,,,25.17,20.39,23.38,29.96,18.38,38.37,23.41,25.61,,,,,
