TUNBRIDGE-WELLS-COURTLANDS,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ5941739752,Long,0.2771737,Lat,51.134855,Elevation,470,ft,,,,,,,,,,,,
Station no,RR6365,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,4.47,1.2,3.92,1.34,1.83,1.02,3.2,1.58,2.78,4.95,0.78,3.54,1.57,1.48,3.41,5.76
February,,,,,3.17,0.82,1.82,1.81,1.17,0.52,5,1.57,2.48,1.01,5.04,5.41,5.48,0.86,1.13,2.25
March,,,,,1.53,3.49,1.43,1.07,2.94,4.16,2.22,2.65,5.15,2.95,6.08,0.57,4.54,1.61,1.01,4.15
April,,,,,0.92,2.07,0.87,3.21,2.44,1.56,2.12,2.26,0.04,3.42,1.62,1.63,1.49,2.16,3.27,3.42
May,,,,,2.66,1.26,1.37,2.32,1.72,1.8,2.65,1.14,1.07,1.89,1.17,4.8,2.62,3.26,1.18,0.3
June,,,,,1.39,3.37,2.3,3.01,2.21,3.21,1.89,2.23,2.8,1.16,0.46,0.65,3.12,2.58,0.61,0.77
July,,,,,1.44,0.36,0.54,1.39,3.61,3.38,2.55,0.37,1.22,2.91,1.33,3.76,1.28,4.11,4.58,1.74
August,,,,,1.3,2.14,0.85,2.18,4.73,2.6,2.61,0.97,7.19,1.18,0.8,1.87,2.27,6.28,1.12,2.97
September,,,,,1.49,2.09,1.37,0.65,1.75,3.68,0.38,1.61,3.49,1.69,0.96,2.04,1.26,1.49,6.68,1.25
October,,,,,2.12,1.62,4.76,5.39,1.7,6.86,3.03,6.05,3.96,5.17,2.32,2.22,5.06,4.68,2.1,0.64
November,,,,,1.69,3.55,6.57,2.45,0.98,1.13,4.14,6.07,2.41,3.88,4.57,3.97,5.25,1.89,2.65,2.57
December,,,,2.12,3.52,0.38,2.01,3.74,3.05,4.65,4.17,7.29,4.5,1.53,9.26,7.64,3.9,2.49,2.43,3.97
Total,,,,,25.7,22.35,27.81,28.56,28.13,34.57,33.96,33.79,37.09,31.74,34.39,38.1,37.84,32.89,30.17,29.79
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1903 Dec Gauge moved,,,,,,,,,,,,,,,,,,,,
1916 Total IDR,,,,,,,,,,,,,,,,,,,,
