TUNBRIDGE-WELLS-COURTLANDS (DIDMARTON),,,,,,,,,,
Grid ref,TQ582381,Long,0.25906912,Lat,51.120349,Elevation,378,ft,,
Station no,RR6365,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,3.61,1.06,1.53,2.41,,,,,,
February,5.64,2.19,1.3,1.47,,,,,,
March,0.98,2.31,1.46,3.13,,,,,,
April,1.31,2.77,0.94,2.07,,,,,,
May,0.72,1,3.17,1.77,,,,,,
June,2.69,1.16,2.32,3.92,,,,,,
July,0.97,2.09,1.84,5.58,,,,,,
August,2.29,1.09,3.74,3.57,,,,,,
September,1.29,1.06,0.4,2.41,,,,,,
October,2.49,3.39,2.37,8.02,,,,,,
November,3.3,0.79,2.69,2.05,,,,,,
December,4.12,4.16,1.75,,,,,,,
Total,29.41,23.07,23.51,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1903 Dec Gauge moved,,,,,,,,,,
