UCKFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ477218,Long,0.1033,Lat,50.9774,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,2.35,3.03,2.97,3.25,1.81,1.49,2.21,1.47,4.25,5.56,4.34,2.21,0.23,2.67,3.65,1.16,2.57,4.75,0.23,2.27,3.67,0.94,5.26,6.22,3.15,4.35,3,1.83,2.61,5.36,3.6,2.22,3.88,0.96,7.07,1.6,3.32,0.49,1.4,1.51,2.73,2.85,2.81,4.48,2.77,1.04,1.01
February,,,,2.5,3.84,1.25,1.37,1.73,3,2.51,2.47,1.11,1.42,0.84,0.51,0.97,1.62,0.38,0.71,2.16,1.5,1.78,0.8,0.88,1.03,1.63,4.35,1.7,1.03,2.53,1.56,1.64,1.8,2.02,1.9,1.15,3.05,2.25,2.05,4.13,3.05,4.43,1.8,4.27,1.69,4.2,0.52,0.81,1.44,2.34
March,,,,0.62,2.32,0.57,1.9,0.67,2.56,0.64,0.18,4.01,0.47,1.7,0.11,3.19,1.62,2.23,1.21,1.79,3,2.51,4.05,0.91,3.64,1.82,1.95,3.02,1.52,2.28,1.73,1.19,1.94,2.18,0.69,0.71,3.07,2.49,1.65,0.95,0.88,2.71,1.43,1.24,2.03,2.46,2.19,1.63,3.59,1.83
April,,,,2.21,0.37,1.53,1.62,0.69,3.11,3.82,3.27,2.23,0.48,2.8,0.25,0.51,4.54,2.21,2.05,2.28,2.53,0.69,1.63,0.46,1.04,0.33,1.25,2.24,2.3,1.52,0.31,3.9,0.61,0.64,2.29,0.87,2.63,2.51,3.12,3.52,1.81,0.8,3.1,1.38,1.31,1.37,2.42,1.4,1.27,2.14
May,,,,5.69,0.18,2.65,1.43,1.63,0.79,2.67,2.78,0.35,2.61,1.56,3.87,2.29,4.77,1.45,2.03,1.02,4.2,1.56,2.61,1.96,1.94,3.37,0.7,2.07,1.03,3.98,1.05,0.62,3.16,1.02,0.59,1.28,0.91,2.15,3.86,3.11,0.2,1.22,1.06,2.62,0.23,2.91,3.99,1.75,1.61,1.37
June,,,,1.71,0.79,1.08,0.92,1.77,3.91,0.85,2.03,1.62,7.04,1.61,2.22,1.77,1.72,3.45,0.16,1.48,4.8,2.88,2.03,3.81,1.01,1.35,2.77,1.87,0.59,0.96,0.34,3.87,2.72,2.79,2.1,3.74,1.88,1.02,1.55,3.29,2.02,2.19,2.11,2.32,2.28,0.82,0.98,0.81,3.26,0.31
July,,,0,3.11,1.47,1.43,2.23,0.22,3.01,1.69,2.44,3.5,0.5,3.97,2.19,3.44,2.67,2.08,3.26,1.67,3,2.85,1.43,0.79,0.46,4.86,2.83,5.25,2.98,0.08,2.12,2.68,1.59,2.35,0.58,3.4,0.45,3.49,1.03,3.53,3.5,1.46,4.57,2.31,1.62,0.67,3,0.57,4.19,3.75
August,,,1.83,3.84,2.23,2.95,2.3,1.08,6.05,0.76,2.37,1.56,6.01,3.17,1.43,0.67,1.97,3.24,1.85,1.59,5.84,1.16,1.9,2.18,1.73,3.76,2.07,1.96,3.18,1.3,2.14,1.34,1.8,3.62,1.97,1.45,3.92,3.34,4.13,4.8,1.08,5.18,2.14,0.63,1.22,0.68,1.57,3.18,3.49,3.57
September,,,2.68,0.28,0.6,3.12,1.5,1.8,2.63,3.37,2.62,0.21,6.54,2.88,1.45,0.88,6.06,4.67,1.14,3.82,3.75,3.7,2.31,3.44,3.06,0.02,6.12,2.33,3.01,4.33,2.29,3.07,1.83,3.07,3.15,1.8,4.23,1.28,1.78,3.28,4.16,3.24,3.27,3.13,3.64,4.57,0.82,3.28,0.84,1.04
October,,,1.69,4.75,5.11,1.89,5.53,1.57,6.03,5.08,1.96,4.11,8.7,7.25,4.28,6.05,1.63,4.61,1.83,4.33,2.97,1.85,7,3.23,2.09,11.23,1.61,3.41,2.64,1.86,5.5,2.5,5.03,4.67,4.18,4.74,1.09,3.79,4.37,0.77,6.72,2.54,7.78,2.88,1.08,4.22,3.99,1.47,2.51,7.15
