CARDIFF-WW-BLAEN-NANT-CREW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO007198,Long,-3.4436144,Lat,51.867908,Elevation,2090,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4157/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,12.99,8.96,8.05,2.72,8.11,11.49,12.74,12.78,5.22,6.78,,10.87,7.47,5.52,8.58,6.18,15.05,3.39,3.59,9.59,6.36,,,,,,,,
February,,0.4,7.3,0.78,6.47,4.03,9.5,3.24,6.73,6.89,11.62,1.39,4.04,3.44,7.72,6.86,2.83,4.76,2.87,10.2,6.09,5.69,,,,,,,,
March,,3.83,5.74,7.63,1.93,5.08,8.37,1.29,3.89,7.38,4.8,5.32,1.58,0.81,2.92,2.42,13.68,3.31,2.94,3.94,7.04,,,,,,,,,
April,,9.05,2.12,4.84,7.92,5.08,6.09,0.49,6.15,5.98,2.07,2.56,2.56,3.85,3.3,3.53,5.34,3.91,5.36,5.41,6.27,,,,,,,,,
May,,9.75,2.31,3.45,2.04,2.71,3.37,6.03,1.34,3.02,4.38,7.67,5.25,2.91,5.83,5.15,3.7,5.02,5.41,3.35,4.88,,,,,,,,,
June,7.55,2.65,4.26,2.26,7.03,5.18,4.09,5.08,5.7,1.32,2.4,0.51,5.37,4.43,6.75,7.28,3.78,6.21,0.93,4.02,2.29,,,,,,,,,
July,7.24,8.32,5.11,2.65,1.37,10.73,5.21,6.29,15.61,4.45,4.78,6.97,3.81,5.36,5.17,3.95,4.28,2.75,1.95,7.26,1.38,,,,,,,,,
August,8.2,4.21,1.32,6.19,2.27,2.11,2.16,5.92,6.02,0.73,8.02,8.7,6.57,5.15,5.34,11.63,0.8,8.14,3.32,10.01,10.55,,,,,,,,,
September,3.9,7.81,2.43,4.83,7.93,5.52,3.85,3.42,1.71,4.39,1.8,6.45,7.04,6.61,6.04,9.95,3.91,7.19,3.42,8.56,5.6,,,,,,,,,
October,2.6,12.29,9.41,6.42,8.56,5.47,5.89,10.12,5.92,8.63,8.91,6.84,5.89,8.47,8.18,1.77,1.85,5.05,9.35,3.79,1.8,,,,,,,,,
November,14.59,5.79,1.86,5.71,9.28,6.18,3.94,11.31,16.31,13.79,4.48,1.67,6.4,11.37,1.06,14.08,7.93,3.51,7.01,8.01,12.05,,,,,,,,,
December,4.17,4.63,3.89,15.82,6.17,9.92,9.51,6.87,4.63,4.23,4.65,,2.93,5.69,10.17,6.11,6.17,10.16,8.08,7.03,6.16,,,,,,,,,
Total,,81.72,54.71,68.63,63.69,70.12,73.47,72.8,86.79,66.03,64.69,,62.31,65.56,68,81.31,60.45,75.06,54.03,75.17,73.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is on Nant Crew.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stated altitude is 150 ft. too low or the gauge is 350m SSE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 m from CARDIFF-WW-BEACONS-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
