KINGS-LYNN-BURLINGHAM (HIGH STREET),,,,,,,,,,,
Grid ref,TF617201,Long,0.39456161,Lat,52.754318,Elevation,63,ft,,,
Station no,RR8015,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.88,2.22,1.42,2.23,0.72,,,,,
February,,0.5,2.48,3.26,1.29,2.27,,,,,
March,,0.93,1.97,1.48,0.51,1.24,,,,,
April,,1.26,2.06,1.21,1.77,2.47,,,,,
May,,0.91,0.69,1.04,3.24,2.53,,,,,
June,,0.48,1.25,0.57,1.63,0.46,,,,,
July,,0.24,3.95,2.91,1.77,1.34,,,,,
August,,1.57,2.84,1.76,1.66,2.18,,,,,
September,,0.86,2.36,2.18,2.58,3.15,,,,,
October,,1.1,1.15,2.78,4.25,2.09,,,,,
November,,1.41,1.17,1.82,2.02,2.19,,,,,
December,,1.19,2.22,3.16,1.6,2.1,,,,,
Total,,12.33,24.36,23.59,24.55,22.74,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
nb. ROOF GAUGE,,,,,,,,,,,
