SUNDERLAND Claremont Terrace,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ398568,Long,-1.380838,Lat,54.904342,Elevation,100,ft,,,,,,,,,,,,
Station no,RR6327,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,2.14,0.43,2.99,2.34,1.23,0.51,,,,,,,,,
February,,,,,,0.84,2.02,1.77,0.9,3.2,1.68,,,,,,,,,
March,,,,,,0.57,2.2,2.49,0.82,0.65,0.73,,,,,,,,,
April,,,,,,0.63,3.4,4.44,2.45,1.74,2.43,,,,,,,,,
May,,,,,,0.92,1.14,2.11,3.2,1.3,1.16,,,,,,,,,
June,,,,,1.57,1.97,1.74,1.76,1.72,4.05,1.08,,,,,,,,,
July,,,,,1.21,4.92,2.25,2.87,0.47,3.79,3.6,,,,,,,,,
August,,,,,2.25,3.1,1.85,5.23,4.49,3.49,1.71,,,,,,,,,
September,,,,,1.72,2.22,3.68,1.66,1.47,0.92,3.94,,,,,,,,,
October,,,,,1.58,3.19,1.89,2.35,1.51,0.66,4.26,,,,,,,,,
November,,,,,2.72,5.88,3.18,1.33,6.49,2.72,2.3,,,,,,,,,
December,,,,,4.24,1.69,5.83,1.91,4.15,1.37,3.46,,,,,,,,,
Total,,,,,,28.07,29.61,30.91,30.01,25.12,26.86,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer, Dr HJ Yeld, lived at 31 St Johns Road in 1871",,,,,,,,,,,,,,,,,,,,
St Johns Rd comprise rows of neoclassical terraces and impressive Ionic porches. Historically each short terrace would have had a name.,,,,,,,,,,,,,,,,,,,,
