BEECH-HILL-WAVENEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU699643,Long,-0.99716444,Lat,51.373464,Elevation,220,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,774/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.43,2.67,2.81,2.93,4.54,1.41,1.34,1.35,1.6,4.62,1.09,0.62,2.51,1.69,0.87,1.18,2.96,3.49,1.82,2.97,2.95,2.98
February,,,,,,,,,1.27,2.15,2.18,0.46,1.07,1.19,1.71,2.02,1.32,0.8,1.04,3.73,5.02,0.71,1.21,2.14,1.24,0.21,2.84,2.62,0.3,2.2
March,,,,,,,,,1.16,2.52,3.37,2.46,0.55,0.2,0.6,1.25,4.87,0.74,1.24,0.7,3.48,2.33,0.33,2.05,1,0.46,1.34,1.26,2.96,1.5
April,,,,,,,,,2.5,1.25,1.33,1.32,0.67,1.21,1.18,1.6,1.73,1.4,1.46,2.51,2.53,1.37,2.67,0.25,0.3,1.49,0.27,1.01,2.09,0.57
May,,,,,,,,,1.15,0.89,1.44,2.87,2.23,0.41,1.68,2.88,1.69,2.53,1.85,1.27,2.73,2.82,1.88,2.01,3.18,0.26,1.18,1.7,0.61,1.94
June,,,,,,,,,1.04,0.95,1.64,0.47,0.88,1.53,2.31,2.45,1.56,1.96,0.4,1.14,1.52,1.5,1.71,3.3,2.49,2.22,1.41,3.55,0.65,1.13
July,,,,,,,,,3.01,2.28,4.93,1.51,1.98,2.4,3.02,1.75,2.08,0.74,1.11,4.15,0.92,0.39,3.11,2.65,0.21,2.83,5.78,1.23,2.71,1.95
August,,,,,,,,,1.55,0.12,4.02,1.92,1.53,1.51,1.17,3.37,0.45,2.75,1.34,3.6,3.49,3.24,1.62,3.3,0.48,4.71,2.28,3.97,1.68,4.18
September,,,,,,,,,0.98,1.08,0.38,1.34,1.12,2.67,2.16,2.99,0.88,1.85,1.88,2.46,1.42,2.45,2.08,1.92,1.24,2.87,2.96,3.55,0.02,3.53
October,,,,,,,,,5.14,3.08,1.25,3.46,3.58,3.35,3.67,0.86,0.44,2.23,6.45,0.7,1.69,3.41,3.22,1.87,2.79,1.97,2.15,2.09,2.52,6.73
November,,,,,,,,3.88,4.87,6.61,2.82,2.08,1.59,4.25,0.33,4.48,1.06,1.5,2.51,4.68,6.4,2.96,0.95,4.23,1.63,0.66,2.4,2.52,2.78,3.51
December,,,,,,,,3.11,1.31,1.24,1.39,2.66,1.35,1.9,2.75,2.2,2.12,3.4,1.36,1.39,1.73,2.38,0.55,2.56,2.58,3.2,2.4,2.93,4.11,3.22
Total,,,,,,,,,28.41,24.84,27.56,23.48,21.09,22.03,21.92,27.2,19.8,24.52,21.73,26.95,33.44,25.25,20.2,27.46,20.1,24.37,26.83,29.4,23.38,33.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is in Beech Hill with correct relationship to church. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
