"BEECH HILL (WAVENEY)",,,,,,,,,,,,
Grid ref,SU699643,Long,-0.997164,Lat,51.373464,,,,,,,
Station no,774/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.51,1.69,0.87,1.18,2.96,3.49,1.82,2.97,2.95,2.98,,
February,5.02,0.71,1.21,2.14,1.24,0.21,2.84,2.62,0.30,2.20,,
March,3.48,2.33,0.33,2.05,1.00,0.46,1.34,1.26,2.96,1.50,,
April,2.53,1.37,2.67,0.25,0.30,1.49,0.27,1.01,2.09,0.57,,
May,2.73,2.82,1.88,2.01,3.18,0.26,1.18,1.70,0.61,1.94,,
June,1.52,1.50,1.71,3.30,2.49,2.22,1.41,3.55,0.65,1.13,,
July,0.92,0.39,3.11,2.65,0.21,2.83,5.78,1.23,2.71,1.95,,
August,3.49,3.24,1.62,3.30,0.48,4.71,2.28,3.97,1.68,4.18,,
September,1.42,2.45,2.08,1.92,1.24,2.87,2.96,3.55,0.02,3.53,,
October,1.69,3.41,3.22,1.87,2.79,1.97,2.15,2.09,2.52,6.73,,
November,6.40,2.96,0.95,4.23,1.63,0.66,2.40,2.52,2.78,3.51,,
December,1.73,2.38,0.55,2.56,2.58,3.20,2.40,2.93,4.11,3.22,,
Total,33.44,25.25,20.20,27.46,20.10,24.37,26.83,29.40,23.38,33.44,,
Calc annual,33.44,25.25,20.20,27.46,20.10,24.37,26.83,29.40,23.38,33.44,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
