DILHORNE-RICHMOOR-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ968470,Long,-2.0491533,Lat,53.020287,Elevation,919,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2367/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.85,1.59,,4.98,4.22,2.52,2.95,2,7.18,2.09,1.62,2.83,3.48,1.19,2.08,2.35,4.3,2.47,2.67,2.58,5.47
February,,,,,,,,,,,2.95,,1.52,1.44,2.89,5.95,1.5,1.78,1.1,5.38,2.92,1,2.05,3.15,1.52,0.64,3.12,4.52,0.65,2
March,,,,,,,,,,2.43,3.79,1.57,1.01,0.46,1.51,1.07,5.19,1.21,2.22,1.64,4.86,2.37,1.82,2.9,2.96,2,3.38,1.74,2.56,1.61
April,,,,,,,,,2.19,2.54,1.52,1.02,1.26,2.66,1.8,0.99,2.56,2.43,3.24,3.9,2.85,3.8,2.75,0.81,2.12,1.44,0.37,1.23,2.75,1.61
May,,,,,,,,,1.61,2.39,3.55,5.09,2.84,1.85,3.91,1.72,2.69,1.73,2.37,0.98,3.01,2.62,2.52,2.8,2.9,1.11,1.16,4.23,0.89,1.95
June,,,,,,,,,2.26,1.42,0.67,0.48,3.49,3.05,,4,1.98,4.5,0.83,1.98,1.66,2.93,3.33,4.92,3.35,2.76,2.12,6.1,1.32,3.66
July,,,,,,,,,7.11,3.03,4.96,3.62,2.05,4.25,1.28,3.14,4.32,2.62,1.85,2.97,1.84,3.2,4.28,3.82,0.93,6.29,4.69,4.22,1.52,3.68
August,,,,,,,,,2.03,1.05,5.48,2.98,4.62,2.59,3.69,5.96,0.86,6.02,2.57,5.72,6.05,2.04,3.27,6.54,0.93,6.12,5.27,3.16,0.72,5.37
September,,,,,,,,,0.88,3.15,0.55,2.09,4.09,4.7,1.96,4.72,1.98,3.4,0.76,4.73,2.23,2.62,3.15,4.19,2.81,2.65,6.66,4.91,0.11,5.15
October,,,,,,,,,2.79,4.41,4.02,3.69,2.75,4.78,4.94,0.98,0.55,2.6,4.7,1.43,1.12,4.5,2.23,6.58,1.97,2.31,3.03,3.32,2.11,5.15
November,,,,,,,,,5.92,7.8,3.43,0.81,2.89,5.29,0.47,6.13,3.61,1.4,5,4.98,8.58,2.11,2.58,6,2.42,1.68,1.81,1.92,4.2,5.02
December,,,,,,,,,1.94,3.51,1.89,3.24,1.85,2.55,3.32,4.25,3.14,4.43,3.18,2.5,3.8,3.62,1.59,4.18,3.37,3.77,2.75,3.97,5.77,3.73
Total,,,,,,,,,,,34.4,,33.35,37.84,,41.86,30.38,39.3,29.91,37.83,41.75,34.29,30.76,47.97,27.63,35.07,36.83,41.99,25.18,44.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Richmoor Hill. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1947 readings estimated for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
