"DILHORNE (RICHMOOR HILL)",,,,,,,,,,,,
Grid ref,SJ968470,Long,-2.049153,Lat,53.020287,,,,,,,
Station no,2367/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.83,3.48,1.19,2.08,2.35,4.30,2.47,2.67,2.58,5.47,,
February,2.92,1.00,2.05,3.15,1.52,0.64,3.12,4.52,0.65,2.00,,
March,4.86,2.37,1.82,2.90,2.96,2.00,3.38,1.74,2.56,1.61,,
April,2.85,3.80,2.75,0.81,2.12,1.44,0.37,1.23,2.75,1.61,,
May,3.01,2.62,2.52,2.80,2.90,1.11,1.16,4.23,0.89,1.95,,
June,1.66,2.93,3.33,4.92,3.35,2.76,2.12,6.10,1.32,3.66,,
July,1.84,3.20,4.28,3.82,0.93,6.29,4.69,4.22,1.52,3.68,,
August,6.05,2.04,3.27,6.54,0.93,6.12,5.27,3.16,0.72,5.37,,
September,2.23,2.62,3.15,4.19,2.81,2.65,6.66,4.91,0.11,5.15,,
October,1.12,4.50,2.23,6.58,1.97,2.31,3.03,3.32,2.11,5.15,,
November,8.58,2.11,2.58,6.00,2.42,1.68,1.81,1.92,4.20,5.02,,
December,3.80,3.62,1.59,4.18,3.37,3.77,2.75,3.97,5.77,3.73,,
Total,41.75,34.29,30.76,47.97,27.63,35.07,36.83,41.99,25.18,44.40,,
Calc annual,41.75,34.29,30.76,47.97,27.63,35.07,36.83,41.99,25.18,44.40,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
