"CIRENCESTER (DOLLARWARD HOUSE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1444,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,4.16,3.18,3.48,2.37,4.26,,,,,,,
February,1.12,0.39,3.98,6.08,0.69,,,,,,,
March,3.06,1.96,2.91,2.36,1.59,,,,,,,
April,4.96,1.17,2.86,2.73,2.91,,,,,,,
May,1.97,1.95,1.09,1.37,7.01,,,,,,,
June,3.16,0.30,1.19,0.44,2.79,,,,,,,
July,4.69,0.54,5.37,1.94,4.64,,,,,,,
August,1.25,2.05,5.01,2.31,4.00,,,,,,,
September,1.79,1.95,2.42,2.83,4.29,,,,,,,
October,2.45,1.68,1.12,5.10,5.05,,,,,,,
November,1.44,2.78,1.91,2.16,2.37,,,,,,,
December,3.80,1.72,4.12,3.75,5.06,,,,,,,
Total,33.85,19.67,35.46,33.44,44.66,,,,,,,
Calc annual,33.85,19.67,35.46,33.44,44.66,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
